user	timestamp	rating	title	review	review_raw
Lajlajlajjdmjdmjdm	20190725T160340	5	Love!	Love the way this podcast is constructed! Definitely binge worthy. Keep up the good work!	Love the way this podcast is constructed! Definitely binge worthy. Keep up the good work!
ReVuNickname	20190725T181907	2	Jeez	Season's 1 and 2 were great! Season 3 is so biased and pandering. She's too easily swayed by the streets.	Season’s 1 & 2 were great! Season 3 is so biased and pandering. She’s too easily swayed by the streets.
Glad. R.	20190725T132809	5	Seriously Amazing	I can not get enough of this! Absolutely addictive and I have even started to following the case in real life. Informative, interesting, intriguing, exciting. Absolutely love it!	I can not get enough of this! Absolutely addictive and I have even started to following the case in real life. Informative, interesting, intriguing, exciting. Absolutely love it!
elash:)	20190722T141416	5	Amazingly Intriguing	This podcast is very well put together. Sarah and her crew do a fantastic job of researching and interviewing as many sides of the story as they can. All three seasons have sucked me in, and I can't wait to listen to the next one!	This podcast is very well put together. Sarah and her crew do a fantastic job of researching and interviewing as many sides of the story as they can. All three seasons have sucked me in, and I can’t wait to listen to the next one!
Hannihooni	20190722T080502	5	I Want More!	Seriously love this podcast! We need more!	Seriously love this podcast!!!  We need more!
Pms12	20190719T121937	5	Awesome	Just binged listened and can't believe I didn't listen before!	Just binged listened and can’t believe I didn’t listen before!
Miki101	20190721T003221	1	If You'Re Here Because You Heard About It On Crime Junkie, Don'T Waste Your Time	"As Sarah says ""Here goes""... (I swear if I hear that phrase one more time I will loose my mind) Good journalism is non biased. The journalist leaves their own opinions out of it. They look for facts, they look for the truth and they desire to do good and help benefit the people they're researching. Sarah is not a good journalist. Her tone says ""My opinion is right, I'll agree to disagree but I'm obviously right and very much judging you for your choices"". It's offensive, and downright annoying. Her snooty know it all attitude made me finally quit listening out of rage halfway through season 3. She's pushy and rude to those she interviews and has NO respect for them, their lives or their stories. Her only motive is her selfish desire to uncover the juiciest details and make a good story for podcast. It's evident that she's not doing this for the people she's interviewing/ researching but only for herself. I have no idea what Brit and Ash heard when they listened to this podcast because I expected so much more from Serial and was disappointed and disgusted from what I heard. Don't waste your time."	"As Sarah says “Here goes”...
(I swear if I hear that phrase one more time I will loose my mind) Good journalism is non biased. The journalist leaves their own opinions out of it. They look for facts, they look for the truth and they desire to do good and help benefit the people they’re researching. Sarah is not a good journalist. Her tone says “My opinion is right, I’ll agree to disagree but I’m obviously right and very much judging you for your choices”. It’s offensive, and downright annoying. Her snooty know it all attitude made me finally quit listening out of rage halfway through season 3. She’s pushy and rude to those she interviews and has NO respect for them, their lives or their stories. Her only motive is her selfish desire to uncover the juiciest details and make a good story for podcast. It’s evident that she’s not doing this for the people she’s interviewing/ researching but only for herself. 

I have no idea what Brit and Ash heard when they listened to this podcast because I expected so much more from Serial and was disappointed and disgusted from what I heard. Don’t waste your time."
Dmam1	20190718T024057	5	Engrossing And Captivating	I am a huge fan of this show. Sarah is brilliant, intelligent and easy to understand. She breaks it down. She's smart. I love the topics in the podcasts. She makes my morning drives to and from work, so much more enjoyable. Exposing injustice and fighting for the truth is so important, especially these days.	I am a huge fan of this show. Sarah is brilliant, intelligent and easy to understand. She breaks it down. She’s smart. I love the topics in the podcasts. She makes my morning drives to and from work, so much more enjoyable. Exposing injustice and fighting for the truth is so important, especially these days.
estelleivana	20190717T184734	5	Adnan Syed	Adnan Story is captivating. Not going to lie I totally skip to season two, I just did not gravitate towards the topic. I am listening to season three so far so interesting, may be a little tough if you are A right wing supporter. However if you're open minded and they're just in the fax and learning, in an in an unbiased way you will enjoy.	Adnan Story is captivating. Not going to lie I totally skip to season two, I just did not gravitate towards the topic. I am listening to season three so far so interesting, may be a little tough if you are A right wing supporter. However if you’re open minded and they’re just in the fax and learning, in an in an unbiased way you will enjoy.
sibrian.luis	20190716T232421	5	Adicto A Esta Serie!	Crime junkie sent me here and I am so happy that I checked it out because I am hooked, this is great and well done, it's easy to listen to and understand.	Crime junkie sent me here and I am so happy that I checked it out because I am hooked, this is great and well done, it’s easy to listen to and understand.
AnArmedAttorney	20190717T151212	1	Liberal Schlock	Seasons 1 and 2 were solid. Season 3 is pure Liberal schlock. Just whiny pandering in the same vein as CNBC.	Seasons 1 and 2 were solid.  Season 3 is pure Liberal schlock.  Just whiny pandering in the same vein as CNBC.
haymadmom2	20190716T220617	5	The Best Podcast	"Sarah, I have been so addicted to this podcast! I binge listen and re-listened. My brother is currently incarcerated with possibility of parole soon. He worked with the innocent project and they pushed hard, but sadly nothing came from the help they gave. Season 3 made me furious at what happens on the daily in our criminal justice system. My family and I (hard working Texans) watched as our family member was railroad all for the sake of justice. To hear how these judges spoke to people (humans.. yes they committed crimes) but to talk to people with such hate saddens me. We have forgotten about innocent until proven guilty. Thank you for opening your heart and spending so much time telling the truth and showing your listeners how it is... Color, money and who your family is plays a big role in sentencing. You spoke to these ""hardened criminals"" like they were people who mattered. The respect and love you showed them made me tear up while listening! I am blown away! You my friend (can I call you that) are special! Thanks from a forever listener, Tulana"	"Sarah, I have been so addicted to this podcast! I binge listen and re-listened. My brother is currently incarcerated with possibility of parole soon. He worked with the innocent project and they pushed hard, but sadly nothing came from the help they gave. Season 3 made me furious at what happens on the daily in our criminal justice system. My family and I (hard working Texans) watched as our family member was railroad all for the sake of justice. To hear how these judges spoke to people (humans.. yes they committed crimes) but to talk to people with such hate saddens me. We have forgotten about innocent until proven guilty. Thank you for opening your heart and spending so much time telling the truth and showing your listeners how it is... Color, money and who your family is plays a big role in sentencing. You spoke to these “hardened criminals” like they were people who mattered. The respect and love you showed them made me tear up while listening! I am blown away!! You my friend (can I call you that) are special!!! 

Thanks from a forever listener,
Tulana"
Riya00	20190713T201300	5	Season 1	I learned about Serial from podcast Crime Junkies. This is done very nicely was hooked from the first episode and binged the whole season in 2 days.	I learned about Serial from podcast Crime Junkies. This is done very nicely was hooked from the first episode and binged the whole season in 2 days.
nanoxe	20190715T203215	1	Way To Get Political	I listened to the 1st and 2nd podcasts and LOVED them. In a way I felt like you guys took the fame you got and used it to make a political message on your 3rd cast. People listen to podcasts to get away from all the monotony and constant talk about politics. Their are plenty of other podcasts out there that did what you did in the first and second seasons so it's not too hard to find someone new. Just thought you guys should know that you're losing fan base. Go back to your foundation	I listened to the 1st and 2nd podcasts and LOVED them. In a way I felt like you guys took the fame you got and used it to make a political message on your 3rd cast. People listen to podcasts to get away from all the monotony and constant talk about politics. Their are plenty of other podcasts out there that did what you did in the first and second seasons so it’s not too hard to find someone new. Just thought you guys should know that you’re losing fan base. Go back to your foundation
hannahjro	20190715T203133	2	Season 1 Is The Only Good One	I learned about this podcast series from a Crime Junkies (go check them out) episode on Adnan. The first season is AMAZING. i was completely hooked so after i finished season 1, i was interested enough to listen to the other seasons. insanely biased and weird. did not like 2 and 3 at all.	I learned about this podcast series from a Crime Junkies (go check them out) episode on Adnan. The first season is AMAZING. i was completely hooked so after i finished season 1, i was interested enough to listen to the other seasons. insanely biased and weird. did not like 2 & 3 at all.
Springrhapsody22	20190715T200350	2	Skip After Season One	I was never a podcast listener until someone turned me on to serial and absolutely loved season one. Season two was pretty interesting until around the middle where her opinions started to show more and more each episode. It is no longer a unbiased podcast - I enjoyed this because it was fact driven not because I want to listen about someone else's opinions. Completely disappointed on the political agenda she is now reporting, she also is clearly emotionally inserting her feelings into the podcast. I won't even listen to season three because of the way she ended season two.	I was never a podcast listener until someone turned me on to serial and absolutely loved season one. Season two was pretty interesting until around the middle where her opinions started to show more and more each episode. It is no longer a unbiased podcast - I enjoyed this because it was fact driven not because I want to listen about someone else’s opinions. Completely disappointed on the political agenda she is now reporting, she also is clearly emotionally inserting her feelings into the podcast. I won’t even listen to season three because of the way she ended season two.
Shelbsterr3	20190712T141105	5	Season One Is Iconic	Season one is so fantastic. I got so attached to that story and I just wanted more. I'm pretty picky when it comes to the voice of the main reporter, and Sarah is so easy to listen to. Season 2 was not as good, but I don't think ANY podcast will ever match season one in my eyes. Season one is the podcast I recommend to anyone and everyone. Season 2, good but not great. Season 3, I'm listening to now.	"Season one is so fantastic. I got so attached to that story and I just wanted more. I’m pretty picky when it comes to the voice of the main reporter, and Sarah is so easy to listen to. 
Season 2 was not as good, but I don’t think ANY podcast will ever match season one in my eyes. 

Season one is the podcast I recommend to anyone and everyone. Season 2, good but not great. Season 3, I’m listening to now."
Franki1978	20190711T203004	5	Required Listening	This season (#3) should be required listening at all schools, colleges, hair salons, waiting rooms, sports venues, and voting booths of the country. We are rooting from the inside out and we wouldn't even know about it if it wasn't because of serious journalistic work and reporting like this. Thanks Serial team.	This season (#3) should be required listening at all schools, colleges, hair salons, waiting rooms, sports venues, and voting booths of the country. We are rooting from the inside out and we wouldn’t  even know about it if it wasn’t because of serious journalistic work and reporting like this. Thanks Serial team.
grama718	20190711T171923	5	Great	Great stories. I have tried to listen to other podcasts, but some people give to much commentary or joke around. You guys give the facts, tell the story and move on. Please don't keep us waiting on season 4! You are a great podcast!	"Great stories. I have tried to listen to other podcasts, but some people give to much commentary or joke around. You guys give the facts, tell the story and move on.

Please don’t keep us waiting on season 4!!

You are a great podcast!!"
sarasue79	20190704T094243	5	Give Us More!:folded_hands:	When is your new season going to come out?	When is your new season going to come out?
Helmetwearer23	20190709T172350	1	Not Objective.	I used to enjoy this show when it investigated cold cases. The political agenda is evident, and while I agree the criminal justice system has many problems that need to be critically looked it, it vilifies both police and lawyers (prosecutors and defenders). A more objective view would make this podcast far more enjoyable. Overall I would not recommend this show anymore, maybe I'll try again next season.	I used to enjoy this show when it investigated cold cases. The political agenda is evident, and while I agree the criminal justice system has many problems that need to be critically looked it, it vilifies both police and lawyers (prosecutors and defenders). A more objective view would make this podcast far more enjoyable. Overall I would not recommend this show anymore, maybe I’ll try again next season.
dbo22!	20190706T075817	2	Why	Season 1: Super solid. Season 2: Pretty good, bias and political agenda start to seep through towards the end. Season 3: Mind-numbingly biased. Pretty wild how you can go from top-tier podcast to obnoxious, politically driven opinion journalism so quickly. Bummer.	"Season 1: Super solid.
Season 2: Pretty good, bias and political agenda start to seep through towards the end.
Season 3: Mind-numbingly biased.

Pretty wild how you can go from top-tier podcast to obnoxious, politically driven opinion journalism so quickly. Bummer."
WadeFC	20190705T173717	2	Interesting But Very Biased	2 stars for at least not being boring. Had much higher expectations based on what's is read online. Narrator was more interested in portraying her views than giving a thorough overview of the cases, which would be fine but that was not the way it's presented.	2 stars for at least not being boring. Had much higher expectations based on what’s is read online. Narrator was more interested in portraying her views than giving a thorough overview of the cases, which would be fine but that was not the way it’s presented.
Queenrobotcat	20190703T202649	5	Addictive	I was late to the party, but instantly hooked. Well done and well researched.	I was late to the party, but instantly hooked. Well done and well researched.
Qwertymin	20190704T022133	3	Started Out Great!	So the first season was great and I definitely recommend it. Season 2 was preachy and a little dull but still ok. Season 3 is pure propagandist OPINION there are so many instances where she just makes a statement with nothing to back it up and you're just supposed to take her word for it...... So stick to season 1 skip the other seasons.......	So the first season was great and I definitely recommend it. Season 2 was preachy and a little dull but still ok. Season 3 is pure propagandist OPINION there are so many instances where she just makes a statement with nothing to back it up and you’re just supposed to take her word for it...... So stick to season 1 skip the other seasons.......
Nahif	20190703T061027	5	Great	Great	Great
shells&bells	20190703T182005	2	Was Going Great Until	Season 1 was good. Season 2 was interesting but she was far too tolerant of the Bergdahl situation. He does not deserve forgiveness for what he did. It doesn't matter if a soldier lost their life while searching or not. The point is he abandoned post and put so much at risk because he was butthurt. Season 3 is incredibly biased. A criminal is a criminal. There are far more upstanding cops and judges than bad ones.	Season 1 was good.  Season 2 was interesting but she was far too tolerant of the Bergdahl situation.  He does not deserve forgiveness for what he did.  It doesn’t matter if a soldier lost their life while searching or not.  The point is he abandoned post and put so much at risk because he was butthurt.  Season 3 is incredibly biased.  A criminal is a criminal.  There are far more upstanding cops and judges than bad ones.
Abraham Boardman	20190702T155035	5	Serial	Amazing! Gives me an amazing view into the disfunctional operations of our criminal justice system. Very entertaining	Amazing!! Gives me an amazing view into the disfunctional operations of our criminal justice system. Very entertaining
kbayline	20190701T011256	5	You Know	Excellent audio, great voice, sufficient drama to stay engaged; thank you for pursuing the stories. More please.	Excellent audio, great voice, sufficient drama to stay engaged; thank you for pursuing the stories. More please.
bjl1228	20190628T143733	4	Biased	Enjoy your podcast overall. However, there is a tremendous bias on some episodes, I.E. Season 3 episodes 1 -9 I'll not micro analyze each and every instance where your leftist, liberal agenda in reporting what you see is the problem with our justice system. Let's just say that surely you realize that the root problem is people not obeying the law. It is not society or law enforcement job to hold the hand of criminals through their judicial venture and making sure that they are not offended, scared or disapproving of the system. I feel sorry for law enforcement for constantly having to look over their shoulders to make sure that they do not offend someone while having to account for their behavior. Such slanted reporting on your part only makes matter worst.	"Enjoy your podcast overall. However, there is a tremendous bias on some episodes, I.E. Season 3 episodes 1 -9
I’ll not micro analyze each and every instance where your leftist, liberal agenda in reporting what you see is the problem with our justice system. Let’s just say that surely you realize that the root problem is people not obeying the law. It is not society or law enforcement job to hold the hand of criminals through their judicial venture and making sure that they are not offended, scared or disapproving of the system. I feel sorry for law enforcement for constantly having to look over their shoulders to make sure that they do not offend someone while having to account for their behavior. Such slanted reporting on your part only makes matter worst."
Ks_chick14	20190630T181750	5	Great Listen	Just finished season 3 I listen to every episode today while working keep up that amazing work :smiling_face_with_smiling_eyes:	Just finished season 3 I listen to every episode today while working keep up that amazing work 😊
MountainMomma12	20190629T110546	5	Incredible	Wish we had nonstop content and reporters of this caliber. Just listened to S3 from start to finish in one day because I couldn't stop. Stayed up all night, in fact. S1 was amazing of course but I haven't stopped wrestling with my own opinions on it. I did not finish S2, I will admit. S3 is something we need 100 more times - we have so much work to do and awareness to raise!	Wish we had nonstop content and reporters of this caliber. Just listened to S3 from start to finish in one day because I couldn’t stop. Stayed up all night, in fact. S1 was amazing of course but I haven’t stopped wrestling with my own opinions on it. I did not finish S2, I will admit. S3 is something we need 100 more times - we have so much work to do and awareness to raise!
gsilia	20190628T193930	3	Somewhat Biased	"Ok season 3, and so far and I was enjoying the podcast. It became very clear after a while, that they were making excuses for ""Jesse"". It's obvious that he is a habitual offender who is clearly trying to take advantage of the justice system. He was very much provoking the police officers. There are many black people who face adversities and don't behave that way. With that, I started to loose interest when the episodes attempted to find excuses for his behaviors. Not only was he provoking officers he committed other criminal acts repeatedly."	"Ok season 3, and so far & I was enjoying the podcast. It became very clear after a while, that they were making excuses for “Jesse”. It’s obvious that he is a habitual offender who is clearly trying to take advantage of the justice system. He was very much provoking the police officers. There are many black  people who face adversities and don’t behave that way.
With that, I started to loose interest when the episodes attempted to find excuses for his behaviors. Not only was he provoking officers he committed other criminal acts repeatedly."
MMs362	20190628T173908	5	One Of My Favorites!	Serial consistently remains one of my favorite podcasts! I started listening during season 1 and I was hooked from the first episode. I loved it so much that I got my mom hooked as well. I was really impressed by Sarah's thorough explanations of each possible perspective. She left me completely unsure of who really did it, but also extremely educated on all of the possibilities. I was just as confused when i started listening to episode 1-but in a good way! Season 2 was not that interesting to me, but it could just be my personal preference. However, season 3 was so amazing that I kept the 5 star rating! I love all of the different cases explained, but that when certain cases required more than one episode, such as Joshua's case, the podcast did so. The season educated me on truly how unjust the justice system is, and how it doesn't really benefit many beyond those at the top and those in positions of privilege. It was definitely a rude awakening, but I feel as though I can now look at headlines and cases I see on the news from a more objective and understanding perspective. I'm anxiously awaiting season 4 and am super excited to see what it will be about!	Serial consistently remains one of my favorite podcasts! I started listening during season 1 and I was hooked from the first episode. I loved it so much that I got my mom hooked as well. I was really impressed by Sarah’s thorough explanations of each possible perspective. She left me completely unsure of who really did it, but also extremely educated on all of the possibilities. I was just as confused when i started listening to episode 1-but in a good way! Season 2 was not that interesting to me, but it could just be my personal preference. However, season 3 was so amazing that I kept the 5 star rating! I love all of the different cases explained, but that when certain cases required more than one episode, such as Joshua’s case, the podcast did so. The season educated me on truly how unjust the justice system is, and how it doesn’t really benefit many beyond those at the top and those in positions of privilege. It was definitely a rude awakening, but I feel as though I can now look at headlines and cases I see on the news from a more objective and understanding perspective. I’m anxiously awaiting season 4 and am super excited to see what it will be about!
CLEcitizen216	20190628T154227	5	Awesome Podcast	I suspect the only 1 star reviews belong to Steve Loomis and dirty cops	I suspect the only 1 star reviews belong to Steve Loomis and dirty cops
toc155	20190627T221509	4	Loved Season 1	The first season was awesome. There are times I felt like the storytelling was a little bit all over the place but a really fascinating case. Could not get into the second two seasons. I think they could've chosen better for content...too bad. But a great podcast even for season one alone.	The first season was awesome. There are times I felt like the storytelling was a little bit all over the place but a really fascinating case. Could not get into the second two seasons. I think they could’ve chosen better for content...too bad. But a great podcast even for season one alone.
Ali Boubezari	20190623T174103	5	Amazing Podcast	Gripping, suspenseful, and very well edited. Great content and would listen again.	Gripping, suspenseful, and very well edited. Great content and would listen again.
Nostrathomas.	20190627T193557	2	Biased Activism, Not Journalism	This is a great podcast for left wing activists that want to further reinforce their confirmation bias but calling this journalism is utterly dishonest. Well produced propaganda for the far left tribe masquerading as journalism..	This is a great podcast for left wing activists that want to further reinforce their confirmation bias but calling this journalism is utterly dishonest.  Well produced propaganda for the far left tribe masquerading as journalism..
SLDamiano	20190623T191229	3	Only Listened To S1 So Far	It was rough to get through the beginning. Idk if it was her journalism or the fact that I right off the bat had an opinion and got bored with it. But towards the end now I'm hooked into wanting to know more. That being said I'll check out season 2, 3. P.S We never heard anything about Dons ex girlfriend before Hae.	"It was rough to get through the beginning. Idk if it was her journalism or the fact that I right off the bat had an opinion and got bored with it. But towards the end now I’m hooked into wanting to know more. That being said I’ll check out season 2, 3. 

P.S We never heard anything about Dons ex girlfriend before Hae."
angnosimmons	20190620T231959	5	Amazing	"I came across this podcast after listening to ""S Town"" and couldn't be more satisfied. Season 3 was the best to me, Joshua's story was so heartbreaking and eye opening. I would love to maybe get an update about his story in the future"	I came across this podcast after listening to “S Town” and couldn’t be more satisfied. Season 3 was the best to me, Joshua’s story was so heartbreaking and eye opening. I would love to maybe get an update about his story in the future
avnapple	20190620T144941	5	Season 3	Very REAL review of the judicial system in CLE. If you're not from Cleveland it may be hard to believe. If you are from here, you either KNOW it to be true or just lying to yourself. The story isn't biased, but the system in CLE most certainly is!	Very REAL review of the judicial system in CLE. If you’re not from Cleveland it may be hard to believe. If you are from here, you either KNOW it to be true or just lying to yourself. The story isn’t biased, but the system in CLE most certainly is!
Up with Fox	20190615T003001	5	Very Well Done	I am not the biggest fan of NPR, but I think Sarah Koenig and crew are doing an excellent job in the Serial series. I don't buy every single thing I hear, but I'm ok with different ideas. That being said, I do not believe that even after 18 months of intense research, observations and conversations you have found out everything we need to know.	I am not the biggest fan of NPR, but I think Sarah Koenig and crew are doing an excellent job in the Serial series. I don’t buy every single thing I hear, but I’m ok with different ideas.  That being said, I do not believe that even after 18 months of intense research, observations and conversations you have found out everything we need to know.
ironic 4321	20190618T230047	1	Season 3	"I really liked the first 2 seasons but the 3rd season is an absolute atrocity. The whole season is quite ironic because it's about ""inherent basis"" but they believe people with criminal records over men and women who risk their life everyday. Try being neutral...you are promoting the police state narrative...you are sowing discord"	I really liked the first 2 seasons but the 3rd season is an absolute atrocity. The whole season is quite ironic because it’s about “inherent basis” but they believe people with criminal records over men and women who risk their life everyday. Try being neutral...you are promoting the police state narrative...you are sowing discord
yoshdrip86	20190615T000434	5	Wonderful	This last season (season3)was a much needed insight into our criminal justice system. It was an extremely emotional listen and I think more of Americans need to hear programs like this! I think there are so many county's in this country that need this type of investigative reporting (lawrenceburg IN) for a example in my opinion. Once again highly recommended!	This last season (season3)was a much needed insight into our criminal justice system. It was an extremely emotional listen and I think more of Americans need to hear programs like this! I think there are so many county’s in this country that need this type of investigative reporting (lawrenceburg IN) for a example in my opinion. Once again highly recommended!!
errbodylovesmona	20190614T175022	5	Wow!	I don't even listen to podcasts, but the fact that I was drawn into all three seasons is amazing! Job well done!	I don’t even listen to podcasts, but the fact that I was drawn into all three seasons is amazing! Job well done!
TheRealCarlaSantini	20190614T022814	5	What Do I Do At Work Now?	I finished every single episode and don't know how I'm going to function at work anymore.	I finished every single episode and don’t know how I’m going to function at work anymore.
kin77zie	20190614T155811	2	Not Completely Unbiased	"Liked season 1, lost me at season 2, he committed treason. Season 3, lived near Cleveland for 14 years, the coverage again is a liberal bias. People have to be accountable for their behaviors, along with communities, legal profession and government. There is no accounting for community in season 3, just placing blame strictly on prejudice. Time for the ""investigator"", to read more about crime statistics and race. May I suggest Heather MacDonald's work."	Liked season 1, lost me at season 2, he committed treason. Season 3, lived near Cleveland for 14 years, the coverage again is a liberal bias.  People have to be accountable for their behaviors, along with communities, legal profession and government.  There is no accounting for community in season 3, just placing blame strictly on prejudice.  Time for the “investigator”, to read more about crime statistics and race.  May I suggest Heather MacDonald’s work.
KatelynnDunlap	20190613T044100	5	So Well Made	I have listened to the first season over and over again. It's absolutely amazing. The research for these cases is so deep and so well written. I can't say enough good things about Sarah's recording. Season 2 wasn't quite my style, but Season 3 was so interesting and a GREAT way to show the justice system, including the good, the bad, and the ugly. I LOVE THIS PODCAST!	I have listened to the first season over and over again. It’s absolutely amazing. The research for these cases is so deep and so well written. I can’t say enough good things about Sarah’s recording. Season 2 wasn’t quite my style, but Season 3 was so interesting and a GREAT way to show the justice system, including the good, the bad, and the ugly. I LOVE THIS PODCAST!!
placman2	20190613T012417	3	1 And 2 Good!	I enjoyed 2.5 seasons, then you lost me in season 3 episode 6. The guy instigating the cop did me in. Rest seemed biased. Season 3 started as listening to court cases and then turned into a liberal cop bashing session. Turned one sided.	I enjoyed 2.5 seasons, then you lost me in season 3 episode 6. The guy instigating the cop did me in. Rest seemed biased. Season 3 started as listening to court cases and then turned into a liberal cop bashing session. Turned one sided.
happypridemonth	20190612T205534	5	Not Biased	I am 13 years old and I can understand why you think she's biased, but she rly is giving both sides of the story. For Aramis, she said both his story and the cops, and acted surprised because she had never heard of a bulge before.	I am 13 years old and I can understand why you think she’s biased, but she rly is giving both sides of the story. For Aramis, she said both his story and the cops, and acted surprised because she had never heard of a bulge before.
Kat S 81	20190611T191255	5	Awesome!	One of the best podcasts I've ever listened to. Loved all 3 seasons, which were all very different and gripping stories. I've listened to each season multiple times. Thank you to the Serial team!	One of the best podcasts I’ve ever listened to. Loved all 3 seasons, which were all very different and gripping stories. I’ve listened to each season multiple times. Thank you to the Serial team!
KatterKloot	20190612T121455	3	Interesting But Very Biased	I found her points interesting but very biased. Her views and reports are very liberal. She seems way too empathetic for the enemy in season 2. Season 1 is excellent. I enjoyed that much more.	I found her points interesting but very biased.  Her views and reports are very liberal.  She seems way too empathetic for the enemy in season 2.  Season 1 is excellent.  I enjoyed that much more.
shellrae	20190611T084819	5	Another Reader	Nothing special	Nothing special
An Inside Joke	20190611T165613	3	Season 1 Was Great	Like a ton of listeners, I binged straight through season 1 after it came out and loved it. I'm also excited to learn that this case is back in the popular culture and it looks like Adnan Syed is getting another shot at seeing his case re-tried. I really wanted to like season 2, but the combination of it being a topic I'm really, really not interested in and the storytelling just not grabbing me led me to quit listening halfway through. I haven't had the chance to check out season 3 yet, but if I hear good things maybe I'll give it a listen.	Like a ton of listeners, I binged straight through season 1 after it came out and loved it.  I'm also excited to learn that this case is back in the popular culture and it looks like Adnan Syed is getting another shot at seeing his case re-tried.  I really wanted to like season 2, but the combination of it being a topic I'm really, really not interested in and the storytelling just not grabbing me led me to quit listening halfway through.  I haven't had the chance to check out season 3 yet, but if I hear good things maybe I'll give it a listen.
aljocanicas	20190610T210523	5	I Want More	Absolutely fantastic. I love listening while I'm at work. So fascinating.	Absolutely fantastic. I love listening while I'm at work. So fascinating.
cleveland please	20190608T231835	5	Please Do More In Cleveland	Please do more in Cleveland I got a lot of people to listen	Please do more in Cleveland I got a lot of people to listen
hou.church	20190609T235621	3	Very Biased.	You almost had me until episode 6 when we heard how Jessie and his friends were talking to the cops. I wonder how biased the rest of the episodes were. I'm starting to feel like we are really only hearing one side....	You almost had me until episode 6 when we heard how Jessie and his friends were talking to the cops. I wonder how biased the rest of the episodes were. I’m starting to feel like we are really only hearing one side....
The office jerk	20190609T150650	2	Sad Turn	Season 1 was absolutely outstanding. There were parts where it sounded like you had feelings for Adnan, but it didn't take away from the journalism. By the end of Season 3, you completely embellish the facts to push your leftist agenda, and in doing so, create racism that further divides us as people.	Season 1 was absolutely outstanding. There were parts where it sounded like you had feelings for Adnan, but it didn’t take away from the journalism. By the end of Season 3, you completely embellish the facts to push your leftist agenda, and in doing so, create racism that further divides us as people.
Syberella	20190609T062836	1	Biased	First and foremost, Sarah is a storyteller. She is not a crime journalist, nor is she an investigator. However, to exclude all of the facts that clear Adnon's name is atrocious. There are several inconsistencies that this series fails to point out. Although it did a good job setting the scene of the case, it was not a fair review of the case and it caused several to believe he was guilty because of skewed evidence.	First and foremost, Sarah is a storyteller. She is not a crime journalist, nor is she an investigator. However, to exclude all of the facts that clear Adnon’s name is atrocious. There are several inconsistencies that this series fails to point out. Although it did a good job setting the scene of the case, it was not a fair review of the case and it caused several to believe he was guilty because of skewed evidence.
mishrea	20190608T102806	5	Fascinating Stories And Brilliantly Reported!	One of the BEST:thumbs_up::light_skin_tone:	One of the BEST👍🏻
DoggieCatBirdie	20190607T171116	5	Season 3 Much Needed Light Shine On Criminal Justice System	I enjoyed all seasons of Serial and this season in particular was especially disturbing. Criminal justice needs a drugs overhaul. The system seems set up to keep those in it once they are in it. The youthful offenders in particular seemed to not stand a chance. Piling suspended license upon suspended license so these kids can't ever pay the fine only perpetuates the problem. This was a much needed light on a problem many of us don't know about or thin about bc we are not involved. Well done storytelling.	I enjoyed all seasons of Serial and this season in particular was especially disturbing. Criminal justice needs a drugs overhaul. The system seems set up to keep those in it once they are in it. The youthful offenders in particular seemed to not stand a chance. Piling suspended license upon suspended license so these kids can’t ever pay the fine only perpetuates the problem. This was a much needed light on a problem many of us don’t know about or thin about bc we are not involved. Well done storytelling.
ohenry54	20190607T165241	5	Season 3	Liked it very much!	Liked it very much!!
rangerking	20190607T021939	5	Season 1 By Far The Best!	I wish to hear more from Adnan Syed story. Great audio, construction and pace. Keep it up! :raising_hands::medium-light_skin_tone:	I wish to hear more from Adnan Syed story. Great audio, construction and pace. Keep it up! 🙌🏼
bugsy_siegel	20190604T173743	5	Seasons 1And3 Are Amazing.	As an in-depth look at how our criminal justice system works it is so fascinating and it doesn't hide away from the crimes of the subjects or the injustice of the justice system. Season 1 was addictive and so was season 3. I find myself wishing there were more episodes.	"As an in-depth look at how our criminal justice system works it is so fascinating and it doesn’t hide away from the crimes of the subjects or the injustice of the justice system. 

Season 1 was addictive and so was season 3. I find myself wishing there were more episodes."
BekBek142	20190605T043131	2	Biased	These stories are thought provoking but they're very clearly liberally biased. I like thought provoking questions but every episode seems to spill over the limit of unbiased reporting. I see where the narrator is going to take the story after the first 3 minutes. It's all anti police, anti justice system, etc..that's an old boring horse to beat.	These stories are thought provoking but they’re very clearly liberally biased. I like thought provoking questions but every episode seems to spill over the limit of unbiased reporting. I see where the narrator is going to take the story after the first 3 minutes. It’s all anti police, anti justice system, etc..that’s an old boring horse to beat.
Katmcm2012	20190604T230322	1	Liberal	A Season 3 was about was the Liberals pushing their views. No one every talked about all the bad choices and decisions these people made.	A Season 3 was about was the Liberals pushing their views.  No one every talked about all the bad choices and decisions these people made.
Shearead	20190603T183315	5	Great Podcast	I love the hard work you do an amazing job	I love the hard work you do an amazing job
