rating,title,content
1,JAMEELA JAMIL PLEASE JUST STOP TALKING AND LET YOUR GUESTS SPEAK!!!,When is Jameela Jamil ever going to stop talking about herself and let the guests speak?  If you are a fan of hearing Jameela Jamil ask a question to her guest and then taking over to insert her own narrative then this is the podcast for you. She is always just waiting to respond.  She hasn’t had any guests  on that challenge her views....it’s just an echo chamber.....but mainly a vehicle for her to keep telling us HER back story and HER views.  But then that’s probably why it hovers in the back end of the top 200.  Seems like people are getting bored of her and her sociopathic narcissistic behaviour and her pathological lying.
4,So interesting but.....,I love these interviews but hate the swearing. I am not a prude but quite clearly when interviewees do  not swear neither does Jameela. So please do that all the time.
1,Let the guests speak,"Tuned in to here someone I admire speak about a topic they are educated in. Instead it was all about Jameela, the guest barely spoke. Jameela thought she was being interviewed"
5,Saved My Life,I don’t know where or who the hell I would’ve become without this podcast throughout 2020 to this present day. Thank you so bloody much Jameela you fearless goddess! This podcast is an essential part of my life now 💙
5,What a woman!,I love this podcast and how fearless Jameela is.
1,Let them speak!,"I love all the guests on this podcast and have tried many times to listen to it because of that fact, but I really wish Jameela would give the guests a chance to share their perspectives and not try and relate it back to herself all the time or turn it into a monologue about what she ‘knows’ on the subject. She should try to learn from the guests and be willing to have her opinion changed. It’s just unbearable to listen to which is such a shame because I am 100% here for the guests and topics."
5,diaryofahornyt,"This is my favourite podcast. Jameela's growth over the years is inspiring and I love how she is giving a platform to people with important things to say. It helps me in my journey of constantly evaluating the world around me and my place within it. It also helped me to find the confidence to start my own podcast, 'Diary of a Horny Teenager'. Granted it's a bit more silly than yours... but there is no doubt I was influenced by Jameela and the power of her amazing pod. Get listening gang, it's time to change the world!!!
Lots of love,
Georgie
@diaryofahornyt"
2,Not enough guest talk,I was really excited about listening to Dean Piper discussing his experience of the tabloids however I had to turn off after 40 minutes as it was mostly just Jameela talking and talking about herself
2,Great guests if only they were allowed to speak,"I really want to hear what these interesting guests have to say, and I do admire the host’s unwavering appetite to learn and grow, but she just steamrolls over the guests and answers her own questions. She does it with such vigour and volume that it’s impossible to think she even wants to hear anyone else’s opinion. It’s incredibly frustrating. If you jump ahead on the bits where she goes off on a rant, you can try to just listen to the guests."
2,Has so much potential,"After listening to multiple episodes, I feel a little exhausted by the ratio of Jameela chat vs the guests. It would be more balanced if she kept her questions concise, then listened to the answers and avoided bringing it back to her own point of view for an exhaustive time."
5,Please let your guest speak,Please let them have a chance to answer your questions
4,You’ve been my walking gal pal over lockdown,"I’ve laughed out loud cried tears of recognition and relief along with you & your excellent guests and gal pals. Jameela Jamil i weight the 2 kids I raised on my own, all the stories I’ve ever told and those I’ve yet to share i weigh two marriages two divorces 2 buried parents and generations of guilt i weigh the strength resilience and humour it takes to show up every day learn the next lesson have the loudest laugh. Thanks girlfriend x"
5,I LOVE this podcast,"I love this podcast so much it's so insightful and i especially like jameela's chatty interview style. I've seen a lot of reviews saying she talks too much or brings it back to her experiences but that's because it's HER own podcast. Don't listen to a podcast by jameela jamil if you don't want to hear her talk and that goes for any podcast. It's expected that the host talks and actually responds to their guests to make them feel welcome and that is EXACTLY what jameela does. Every guest feels like a friend because of the way jameela chats with them so it's such a nice listen! keep up the good work jameela and keep talking in your own podcast!!!! And to those of you complaining; women have been told to talk less for most of history, this is especially not the place to bring up that age old trope, it's time we started uplifting women and letting them speak, particularly on their OWN podcasts!!"
5,Excellent,Love Jameela and all the great work she does. This podcast has wonderful guests. I particularly like the episodes with medical and science professionals as I always learn something new from them.
2,Let the guests get a word in!,"I like the idea of this podcast and the guests are great, but it’s too bad that they don’t actually get to contribute much. It would be much better if Jameela would let them speak more rather than talking over the guests so often or bringing everything they say back to her and her experience. Each episode seems to be like 75% Jameela, 25% the guest. But hey, if you like her and are happy to mainly just listen to her for an hour, then this one’s for you!"
1,Can't listen!,Jameela is the worst interviewer I've heard! Everything has to relate to her and her own experiences which is cringy to listen to and hearing her interrupt everyone is unbearable!
5,Refreshing,Really down to earth conversations with incredible guests and talking about things we don’t hear enough. Resonates and relatable!
5,Best and most informative podcast,"Just listen, you’ll see 😊"
5,I would recommend EVERYONE listens to these podcasts,This podcast is so helpful so educating and so incredibly real! I absolutely love her and love the relationships she creates with the people she chats to! I relate to so many of the stories and experiences that are talked about and love that this educates me and informs me of things I strive to correct and share with others! Thank you for this and thank you for your honesty!
2,Frustratingly Daft,"One of the most irritatingly stupid podcasts around. The host boils everything down to either gender or race, and appears to lack any academic understanding of the issues while, at the same time, displaying an incredible level of confidence in the importance and validity of her own opinion. The host also agrees completely with everyone she interviews, making the whole thing a rather bland echo-chamber. If you want to learn anything about the topics covered here, look elsewhere."
1,Why hasn’t this gotten better?,Jameela is a bad interviewer. She relates to people so much she sounds like she is lying about everything.
5,great,talks about some really important topics and all the guests are individually inspiring in different ways. i think jameela is a great host and i really enjoy this podcast
1,Oh hun,"Dreadful Jamil seems to be more intent with sharing her point of view rather than hearing what the guests have to say.
Dull,disappointing and not a great listen"
5,Just brilliant,"I cannot get enough of these. Some I have listened to more than once. I look forward to hearing her interview her incredible guests every week, and I have honestly learned so much. Jameela Jamil is making such a valuable contribution to the world."
5,Brilliant,So naturally funny and easy to listen to
5,I can’t stop telling people about this podcast,"Jameela’s podcast is incredible. I love her attitude and wit, and her guests blow me away each week. I think I’ve loved every single guest thus far. Every episode I come away having learned something, and have added something to my ‘to-do’ list, whether it’s buying a guest’s book, or learning more on a certain topic.
I also can’t stop bringing it up. Frequently I say to my family or friends “I was listening to Jameela Jamil’s podcast today, and...”

5/5 would highly recommend."
5,Favourite podcast,I love Jameela and everything she stands for ! She always has the most amazing guests who have incredible story’s to share ❤️
5,Thoughtful and helpful,"Great guests, reflective and a force for good"
2,Interrupts guests too much,"I have only listened to one episode. Very interesting, important topics, but please let the guests talk!"
5,Talks too much,"Guests are great, and do like the host but she is to overbearing."
1,Ramblings of Jameela,A podcast for all who love Jameela talk about herself for an hour or so.
2,Let the guests speak!,"Interesting subject matter / love the choice of guests, but please let the guests speak! It feels like the podcast is always about the host. Eg Jameela frequently says ‘WE do this’ or ‘YOU AND I do that’ in relation to her guests - I understand that she is trying to relate to people but I’d prefer it if she just let each episode be about its guest and their experience, rather than that of the host."
3,Bulldozes the conversation ALOT.... stop doing this and it would be great.,"Amazing guests, insightful and interesting conversations, I really like Jameela on the whole -  it’s just SUCH a shame that Jameela is constantly cutting guests short and seemingly “knowing all”. Not the most open and curious interview style I’m afraid - once you’ve noticed it, it becomes quite unbearable to listen to. 

Steinem for example was a very gracious and patient listener, but it was quite an uncomfortable listen as she couldn’t get a word in edgeways. Bulldozes the conversation."
5,Amazing 😍😍😍,"I LOVE this podcast, it has genuinely kept me sane in lockdown, and Jameela is an absolute queen.
One thing that’s bothered me is the start of the Neal Brennan ep. he tells the story of meeting Jameela and says he was going “to put the moves on her” til he realized he was a fan of her boyfriend’s music. So he didn’t respect their relationship til he respected him? Honestly I’m surprised she wasn’t more bothered by that, seemed really creepy to me."
5,So in love with this podcast 🥰,"With every new podcast I come away feeling more inspired and knowledgeable than the last. Jameela is so relatable for me and always has been since her T4 times - the openness of topics regarding eating disorders, mental health and abortion have recently made me feel strong enough to talk openly about my own experiences in all of these and couldn’t thank her enough. I truly recommend to anyone who loves a good and factly feminist rant as well as learning about different cultures and perspectives which is beautifully knitted between her and her guests life stories. 

It’s like I’m getting a warm hug whenever I’m listening to this podcast and in this second lockdown in the UK, it’s very much welcomed."
3,I love you but,I am a huge fan of Jameela and all her work but I had to stop listening to this podcast as she just talks too much! Sadly of all her skills - interviewing is not one of them. I get she interviews people that resonate with her and her journey but it would be so good to hear much more from them. Got herself as well as others... I just can’t listen anymore as I find it a tad frustrating and don’t want to fall out of love with her.
5,Amazing 100% recommend,Did you not read the title? Go listen!
5,Wow,"This podcast has helped me grow in so many ways. Listen to it allll please. Especially Alok 😍😍😍

The important conversations had, topics covered, truths shared, the unlocking of issues, identifying where our shame lies and the dismantling of toxic ideology and lies, are just a few of the reasons I tune in every week.

I am often baffled with the world and how it goes round. How we are so consumed in all the things that are toxic and how we think we should be a certain was and how we as humans learn to hate ourselves and other so easily. I often speak to my partner about things and have an internal dialogue but I don’t feel that many people in my circle are interested in these kinds of conversations or understand how toxic the world can be without us knowing..and you get left feel as though there’s little hope of change. 

BUT THEN.... Jameela Jamil started this podcast  and the iweigh movement and here it is. The big conversation is happening amongst a community of listeners, celebrities, activists, young people, old people and it’s getting bigger. This give me so much joy.

The guests have so much to give and reflect on. There are so many perspectives to be shared. So much diversity and so much championing for standing up and being yourself and being better to other people. 

Love love love ❤️"
3,Amazing topics but the guests don’t speak much,"I really like Jameela and the conversations topics are exactly the kind of thing that needs to be discussed, however in a lot of episodes Jameela seems to talk for the same amount of time as the guests, or longer. You can feel the guests (eg Demi, Rees, Vivek, Katherine Ryan) deciding not to say things because Jameela has spoken over when it’s actually not her area of expertise at all. I am interested in hearing her opinions and I love her, but if you’re listening to hear the points of view of the guests and their lived experiences, you might be annoyed. If you just love Jameela and want to hear as much as poss from her then you’ll love it!"
4,Demi ep,"I love this podcast & have a huge amount of respect for Jameela. The Demi L ep is so so interesting. However, the host talks over and interrupts the guest constantly- often going on monologues about her opinion & experience. I really value her opinion and POV but not when she is hosting :)"
5,The most woke and enlightening podcast I’ve heard!!!,"In every episode I’m learning something new which is broadening my knowledge and improving my mental health. 

One suggestion though, please could you bring Matt Haig onto the podcast??? He would be great for the show and for listeners mental health. He’s also really interesting. 🙏🏻😂

Thanks 😊"
5,The BEST podcast out there to day,Jameela has outdone herself with this podcast. She is an amazing host and her guests are just perfect. It is so educational and insightful and I learn so much from listening to her guests talk about their personal stories and experiences. Every topic which SHOULD be talked about is covered here. Thank you Jameela!
4,Love the podcast,"I especially loved Demi Lovato’s episode, however there were numerous occasions where Demi would start speaking or telling a story to be interrupted and you could hear how she was put off of what she was saying which was a bit frustrating to hear."
5,I Weigh is *everything,"I cannot stress how good I think this podcast is. As a self-professed left leaning, woke (caucasian, gay, cis-male) listener I consider myself schooled, educated and my mind stretched by each episode. 

Practically the sound and vibe of the show is on point. 

Jameela dances through the most complex subject matters with ease and relatability. I literally feel like this podcast makes me a better person on this planet. 

Couldn’t recommend any more 👏🏼"
5,Amazing!!,These are some of most insightful and educational podcasts I have ever listened to. I highly recommend them to everyone! Just amazing!
5,Brilliant!!!,"Have listened to several of these now and am loving them. The one with Munroe Bergdorf though - wow!!! She is such an amazing woman, love how much you showed up for her Jameela."
5,Fantastic!,"As an avid podcast listener, I must say that this is one of my favourite of all time! I love how relatable Jameela is and the variety of guests she has are brilliant - a real eye opener to some serious topics and I feel I am getting an education as well as being entertained each week. Please keep up the good work Jameela, you make my day each week with this wonderful podcast ❤️x"
5,Great podcast,I love listening to this and learning about new things!
1,Please let your guest speak,Jameela repeatedly talks over her guest and makes the interview about herself. Frustrating to listen to.
5,The most engaging guests + conversations,This podcast gives you the opportunity to engage with a wide range of issues that are often neglected/ignored/mistreated in the mainstream media. The guests are always so interesting and the conversation is always refreshing and truthful with no holding back.
3,Good guests,"Love the guests and the potential behind, but I really wish Jameela would let them be the star! She talks over and cuts off everyone! Listening to Munroe be silenced was really uncomfortable listening at times."
5,Munroe ep x,"Adore adore this - so informative, have learnt TONS. Thank you so so much. Only small thing is did feel a bit like Jameela was talking over and for Munroe and not really allowing her to speak as much as other guests (probably bcos they’re good friends and she knows M’s story too)!"
5,You need this podcast in your life,"End of. You need to listen to this. It’s so informative, so interesting, so educational and so enjoyable. Just listen to it all, binge now"
5,Just love!,"I absolutely love listening to I weigh. It’s just such a beautiful podcast! I love hearing every amazing story. Some make me laugh like a crazy person whilst I walk my dog and others can really bring a tear to your eye and make you want to right all the wrongs. I just wanted to hug both Billy and Scarlet when they told their stories. 
Thank you for such honest, thought provoking stories."
5,Enjoying stories,I’ve been enjoying all the stories and experiences from different people. Glad we are normalizing them. I do with host would stop cutting off the guests mid sentence or mid story. Maybe letting them finish would make it even better and take it to the next level.
5,THANK YOU!,"Cannot thank you enough, love your podcast! Especially not shying away from the fact that women often perpetuate issues we’re facing. It’s so important to carry on these conversations. You weigh absolute tons to all of us for what you do, and for being true to who you are, especially as it’s not always making you popular. Lots of love! x"
5,Honesty,Love this. Love how honest it
5,Empowering,Every time I listen to this podcast I come away feeling so much more positive and powerful. The way Jameela talks about mental health is so accessible and accepting. I love it. My new favourite for sure.
5,Thought provoking and uplifting,"Only just got around to this and I’m really happy I decided to give it a go. Not a huge podcast listener usually but episode one down. Felt like I was sitting in on a conversation with friends and took away some really positive insights. Lockdown weight is real and this first episode has helped me feel more comfortable, I could also relate to so many things discussed. Thank you for being fresh!"
5,Thank you,"What a brilliant, honest conversation about mental health with Scarlet Curtis. We need more people like you in the world!"
3,Enjoying,"I’m really excited about this podcast and it’s guests, however, I have found that they are. A little host heavy and of course there’s so much to say but I think when there’s a rare and super interesting guest it’s a shame when they are cut off from a story mid sentence or story... that’s been frustrating really."
5,Loved it.,"Listened to the episode with Aisling Bea and I really loved the wit, laughter and honesty from both ladies.  Soo intelligent and thought provoking chat!"
5,Amazing!!!,"If you are looking for an authentic, real conversation between Jameela and her guests, then this is the one for you! For those who are saying that she is a man hating feminist, she is merely addressing the issues that women and minority groups often face that others are afraid to acknowledge.

This is an essential listen for those who aren’t in denial. I love that this covers an array of issues and includes a variety of guests representing different industries and communities. Will be continuing to listen!!!"
3,Elly27495,"Great podcast and format, however she does talk over her guests and doesn’t let them fully finish their points. This makes it a frustrating listen sometimes."
5,Essential listening,"I don’t feel as though I’m listening to an interview, it’s more like listening to two friends have an insightful conversation and Jameela has invited us to the table."
5,Iconic,The only complaint I have about this podcast is hate I am seeing towards it in the comments section. Jameela is incredibly well spoken and down to earth. Each interview feels so genuine and touches on issues that our generation need to speak about. Genuinely think I may have lost count of the amount of times I have punched my hand in the air and said “yes!” in reaction to things that both Jameela and her guests have said. I would give it a ten stars if I could!
5,The most incredible podcast,"I absolutely adore this podcast! The topics covered by such strong, inspirational women leave me constantly wanting to hear more.

I’m addicted and can’t wait to hear more!

Jameela is the finest host, bringing humour, sensitivity but also a relatability to even the most difficult topics. Im in love!"
3,Not for me,"I love listening to empowered women but this podcast doesn’t do it for me. Jameela seems to hate the world and men and rather than celebrate the world we live in, I found everything she discusses brings up the same patriarchal issues. Tried to listen to a few as admire a lot of the guests she has and wanted to listen what they have to say. Instead we are met with all the horrible and cruel things men do to control the showbiz industry.

Jameela interviews in a way where she tells a story and then hints at the guest to give their own opinion but because the story has created an extreme view of lack of opportunities for women, it would be outrageous if the women did not agree. Let them lead with their own opinions and then give yours, it would create a more genuine feel to the podcast."
5,Incredible.,Jameela is such a breath of fresh air. I adore her honesty and look forward to her iweigh podcasts every week. Really loved all of them so far. Feel like I learn so much from these women and constantly inspiring me to let go of my insecurities. Thankyou!! Everyone needs to listen.
1,It’s not all about you,"Brilliant guests and the makings of an excellent podcast.... if only the host would stop talking over the guests and constantly trying to make everything all about her. It’s unprofessional, irritating and downright rude."
5,"Informative, insightful, funny, calming - 100% worth a listen","I’ve found this podcast to be a little slice of calm in very uncertain/ anxiety inducing times. So far Jameela has had a great variety of guests who all have really insightful and interesting things to say on topics varying from body positivity, cancel culture, the concept of shame, and deconstructing patriarchal assumptions. 

The overriding theme is to be kinder to yourself and to not derive your self esteem from what is often quite an artificial and damaging social media. 
The issues she addresses could not be more prevalent than in a time of global pandemic in which we are geographically isolated from one another - forcing many of us to become more introspective and self-reflecting. 

I really look forward to each new episode as it comes out every week, and always come away with a big smile on my face after listening. ♥️"
1,Not for me!,Super annoying host bringing everything down to her 6th form level feminist agenda. Not intelligent nor funny. A pity really as I am a massive fan of Aisling Bea but I couldn’t finish this.
5,Thank you Jameela,"Jameela is reeeeal and I like it. When Instagram and publications are saturated with pressure to change yourself Jameela encourages you to enjoy your life and embrace yourself

Really grateful Jameela’s making so much content at the moment and can’t wait to see other changes she influences next"
5,Loving it!!,"I’ve listened to all the podcasts so far and I’m loving them! My favourite was Demi’s, purely because I loved the rawness of the conversation and how you were both able to be so comfortable to share how you feel. Definitely going to continue to listen to them because I love them. 
Keep it up Jameela! ❤️"
5,Love it!!!!,"I love your podcast!!! It’s the only thing keeping me going and giving me hope! I’m trying to love myself and love my body- it’s hard but I will get there. I’m so grateful for your podcast!!!🥺 I’m obsessed!! love it!! it’s my new therapy. You are outspoken and speak TRUTH!! I admire you so much!  Please don’t ever stop making your podcast, it has helped me massively. THANK YOU JAMELLA!!! so grateful to have a woman like you in the world who’ stands up for herself and make the world a better place xx 
Hope you see this xx 
From (Tabs from Twitter) xx"
3,Good but too much interrupting of guests,"I think the topics discussed so far are brilliant and very interesting/ inspiring but it’s the talking over and cutting off guests mid sentence at times that can be a little bit annoying/ disjointed at times but on the whole, it’s a good podcast and will be a staple in my library!"
3,Talks over the interviewee,"Enjoyed listening to Aishling Bea, she’s funny and insightful, but I find Jamil’s interview style irritating. She quite often talks over Aishling. Annoying."
5,absolutely brilliant!,I think I just found my new favourite podcast❤️
5,Thank you for this,"A breath of fresh air. Amazing inspiration in terms of your Christian faith and being real about who you are whilst being a Christian (no glossy image) 
I love it - so healing and beautiful words. Thank you both for sharing yourselves very openly."
5,Empowering,"During these uncertain times this podcast was exactly what I have been searching for.  The interviews are incredible, insightful and grounding. Thank you for such a rich production of knowledge and insight of film, TV and media but also of the people that represent the fantasy’s we invest our lives watching. I forget that the people behind the cameras are human too and more alike than different to you or I."
1,Give it a miss,Many better pods exploring these issues. Amateur effort from an unqualified c list celeb. Avoid
5,So brilliant.,Needed this in my life! Always feel much better about life after listening to an episode of this. Big up Jameela 👌
5,Fabulous,Such an insightful podcast thank you.  You shine a light in places I had not thought about.  You are a great interviewer.  Thank you.  Keep well
3,Good podcast but could be improved,"I love you Jameela Jamil and your vision however interrupting your guests quite frequently and interjecting your own stories has made me not want to listen anymore, you’re not the guest I was drawn to the podcasts for the interview with the guests but they don’t get much chance to speak at length."
5,Loved it 👍❤️,This podcast is incredibly insightful and thought provoking as well as being hilarious. Jameela is incredibly well-versed and empathetic. Definitely worth a listen!
5,Amazingly relaxed and honest,"If you are at all interested in people, society, mental health or body image - you should listen to this. It is so refreshing to hear people speaking so openly about a variety of experienced"
4,Refreshing,"I love Jameela and her attitude, I know she’s being real, but if she could just keep the F word limited then I can listen to it freely in front of the kids!!"
4,Great podcast - work on interruptions,"Love the podcast, great guests and really fascinating issues discussed. Jameela is such a well informed and empathetic interviewer. My one niggle is that she semi often interrupts interviewees preemptively. Often these interruptions are her interjecting with her personal stories and experience (all be them interesting). There is definitely a place for her rich personal experience on the podcast, but it would be great to gently probe and truly listen to her guests first and foremost. I understand this may be difficult via Skype calls!"
5,"Incredible, inspiring and Ideal for the lockdown","The topics and themes are so well thought out, amazing guests, and Jameela Jamil is so honest and hilarious on this. (Great theme tune too - I love it very much)"
5,Excellent,Bravo! Just listened to the first two. Beanie’s interview is fantastic particularly about body image issues and now she’ll possibly have to change her name thanks to Aussie slang. I was like a sponge listening to Vivek’s interview. So many really important points made. I love how Jameela is totally herself and brings her sharp wit but also personal stories and insights to the table. Looking forward to hearing more.
5,Brilliant,The loneliness episode is so well done. Brilliant 👏🏻
5,I love this so much! ❤️,"I love the way Jameela connects with the people she is interviewing and with me as a listener. Been following Jameela’s IG and iweigh IG and find them so inspiring.
Can’t wait to hear more!❤️❤️xx"
5,i weigh,I love you and everything you do. I weigh many things but today i weigh listening to you ♥️
5,I am WOWED,This is truly eye-opening and made me feel much less alone. Thank you for putting this out here! More power to you both⚡️
5,Love Jameela,Super inspiring. Lovely idea Jameela
5,Must listen!,What a great podcast Jameela’s brought! Amazing concept and loved the episode with Beanie and all the topics you all tackled. Love it!❤️
5,❤️,"i love this! thank you for sharing your experience, it means so much to me ❤️"
4,please listen more,this podcast is good and you have good message but please listen more to your guests and try to not cut off
5,Exceptional podcast,"Extremely human, vulnerably gorgeous entertainment, educating and opening up my mind to many new and important topics, thank you!"
5,Love this podcast 🌼,"i look forward to every new episode , Jameela seems to bring more interesting guests every week :)"
5,"Fantastic content, host & guests",Excellent choice of guests - each a very interesting person with perspective-shifting viewpoints on really interesting content. I am learning so much from Jameela and her guests and I hope this podcast continues for a really long time.
5,The best podcast to expand your horizons,"...and have a laugh! Brilliant selection of guests and frank conversations with an honest, clever and funny host. Every episode challenges listeners to become a bit more aware, to question their own prejudices and preconceptions, to think about ways we can all contribute to dismantling systems of oppression. Thank you Jameela for all your work. Keep it up!"
5,The best podcast of all podcasts ever!,"This podcast is life changing. At times it’s the only thing that keeps me going. I often feel understood on things I never thought I would. Several moments, when Jameela shared what she’s been through, became my salvation. Therefore I can confidently say, the world is lucky to have Jameela Jamil."
5,uno dei migliori podcast mai ascoltati,"ho scoperto questo podcast perché la hoster , jameela è una delle mie attrici preferiti nella ironica e sarcastica serie , the good place .
questo podcast tratta a mio parere di temi molto attuali e di cui bisognerebbe discutere ogni giorno apertamente senza avere paura di nessun ti possa giudicare per quello che stai dicendo e niente , adoro questo post . keep on jameela ❤️"
3,"Much needed, but how well is it executed?","I like this podcast, but it would be fantastic if Jamil stopped talking about herself and actually let the interviewees talk. I sometimes find it embarrassing."
5,A bright star amongst darkness,"If there’s a podcast that had to be made, this is it and no one could have done it better than the one and only Jameela Jamil. 
Do yourself a favor and listen to it."
5,Inspiring and necessary,I want to thank you for keeping this podcast going. I have learnt so much from this podcast. There are such few strong female voices who are uplifting and generally try to understand the realities of general people.
4,Love,"Love the show!
Please just check the photo of your guest Sarah Jones posted with the episode The Sex Industry. It doesn’t seem accurate to me…"
5,The best,My favourite podcast ever. Inspiring and encouraging.
5,Cream of the crop,"Fucking queen, mate. Nough said innit?"
5,Inspiring,This podcast is so inspiring and listening to it is the highlight of my week 🥺🥺
5,Wholesome!,"This podcast is so inspiring and heartwarming. I would say that it feels like a conversation with a friend who completely gets you.
Looking forward to the rest!"
5,More please!,"This first episode was so inspiring, very much looking forward to the rest!"
5,Thought provoking,"I am always looking out for an enjoyable insightful, thought provoking podcast, and this hits all those buttons! I love playing this in earshot of my pre teen son who asks thoughtful questions about the issues discussed. An important conversation starter."
1,Disappointing,"I used to really enjoy this podcast, but as time goes on I have come to realise that Jameela is actually toxic and problematic. She is just using the plight of others for self serving purposes and for attention. She really confirmed this for me when she supported Will Smith committing an act of violence and in the episode with JVN made me cry, she was so vile to them. 
If you are struggling with any mental health issues, I would suggest that you listen to podcasts that are put together by actual experts, not some C lost celebrity just trying to raise their profile. This podcast will ruin your day, it is so negative and not at all helpful to anyone. I would rate this a zero, but that’s not possible, so I give it a one."
5,One of my favourite pods!,"I adore this podcast. I love Jameela’s insight and perception of the world around her. Her guests are from such a wide variety of backgrounds and have such unique and powerful views on lots of different topics. Very educational and inspiring, a must listen."
4,I really like this podcast and would love it if…,"I really like Jameela a lot. She has a wonderful heart and so much compassion and honesty. I think her podcasting skills would be strengthened if she got some active listening training in holding space for her guests rather than cutting in with what she wants to say. You’re shutting off the gold, Jameela. Silence is a powerful tool. There’s so much value and love in this podcast and it could be extraordinary with some tweaks. Thank you for all your hard work, emotional labour, and bringing yourself fully to us."
5,5/5 pod but LET THEM SPEAK,This is an amazing podcast but at times the host doesn’t let her guests speak... she just keeps talking and talking :( as with the case where Marina was on
5,Subscribe now!,Brilliant!!
3,"Great guests, good topics, poor hosting","I love the guests, I love the topics of mental health etc and gives a new insight into these famous people’s lives. But please please jameela stop interrupting your guests and inserting yourself. Listening is much more then waiting for your turn to speak (and sometimes you don’t do that). Please learn and do better. Such a shame, could be phenomenal."
5,My favourite podcast,"Absolutely phenomenal. Thank you for being so open minded and curious, these conversations deserve all the attention they can get."
5,Love it!,"I absolutely love this podcast 💓 I feel like I’m learning so much while being entertained by Jameela and her great guests! You’re amazing Jameela, thank you for this podcast xx"
5,What we all need to hear,"Eyeopening, thought provoking, funny and honest. Very empowering and just and an amazing podcast by amazing, strong and brave women."
5,👌🏻👌🏻👌🏻,"Was ambivalent about clicking on this but turns out I needed to hear it! Give it a go.... It was thoughtful, funny, casual and genuine. Awesome women ❤️👩‍🎤"
5,Genious,Love everything about this show
5,Love,Love
5,Outstanding,"This podcast is great! Every young woman should have a chance to listen to it. Many important subjects are touched and discussed, well done!"
5,Great podcast,I really enjoy listening to this podcast ! It’s so much needed and I really can relate to a lot of subjects ❤️
5,😍,I needed that! So positive 😍
5,Brilliant,"Love the guests, love the host, the topics are all acute and need to be amplified. I want a podcast discussing this podcast 🙌🏻"
5,Thanks,"Every episode is so brilliant, I just can’t get enough. However usually I’m  not into this genre of experience-sharing-interviews. Also Jameela’s voice and English pronounciation is really soothing. Greetings from 🇷🇺"
5,Fav podcast!!,"I don’t usually leave reviews on podcast app, but I’ve been listening to Jameela Jamil for a really long time and it’s just been amazing. She’s incredibly humble, and she approaches every topic with the attitude to learn. and most importantly, she is so unapologetically herself and this inspires me to be unapologetically myself. I love how excited she is about her guests and how she jokes with them. It makes the heavy topics feel slightly lighter, but doesn’t totally remove the seriousness of them. I listened to this podcast when I drive and just before I sleep. Or sometimes when I feel like I need to be grounded this is the one I go for. Thank you, Jameela Jamil you are awesome!"
5,What we all need,Thank you for being such a refreshing listen! Your podcast with trapyogabae had me crying. Thank you thank you thank you
5,A Must Watch for sure!,Really love her podcast! :)
5,Where can I find the subscripts?,Where can I find the subscripts?
5,Jameela you are an inspiration.,"I love your podcast. It's raw, relatable and educational.
I learn a lot from you Jameela."
5,The best!!! 👍🏻👍🏻👍🏻,I wanna meet Mindy Karling in this show plzzzz
5,Like a big sister I never had,"Jameela distills complex topics into accessible, beautifully worded conversations, grounded in the recognition of human flawedness. As a 20-something year old, this podcast is a treasure — a door to self-awareness and a tool for navigating the challenges of womanhood."
5,Great podcast,"Great podcast, interesting guests. Love it!"
5,Wish I would’ve found this podcast sooner!,"This is literally the best podcast series I’ve ever listen to. I love that the language used is how actual people talk to one another and nothing is too embarrassing to talk about. Thank you so much for keeping it real, thought-provoking, and educating.❤️🙌🏻"
5,Best host!,"My favourite podcast!! Any episode I choose to listen to, I’m always sure I’ll get new insights and it will open my mind more and more. Jameela is so smart and funny, the best host! Thank you <3"
5,Love it,"Fantastic and important topics, with a lot of humor. Jameela is a great host. I wish this was something I could have listened to in my twenties but I’ll take it in my thirties as well. Also I wanna marry Beanie. Side note."
5,Love,Absolutely love the episode with Conan O’Brien.
5,my fav podcast,i just love it
5,Helpful in every way!,"Insightful, and painfully honest. Really challenges you to questions your own biases and beliefs about everything and encourages personal work and growth. Thank you, JAMEELA and guests! X"
5,actual best,"genuinely one of the best podcasts, i enjoy going on long car rides and listening to this podcast. i would love more famous guests."
5,❤️❤️,Love this podcast  big fan
2,Just because you’re famous…,"… doesn’t mean you’re interesting. I guess for some people, those two words are synonymous. Being famous also doesn’t mean you know what you’re talking about. 

These are not everyday, average people. They’re rich celebrities. They’re not in touch with actual real life. They don’t have the same problems as us and they certainly don’t know how to fix mental health issues. (My food budget for the next 6 days is negative $4. My OCD is so bad that I’ve started memorizing the periodic table in an attempt to keep intrusive thoughts at bay. I can’t afford a specialized therapist, ketamine treatment or even organic chamomile tea, for that matter). This podcast is just glossy, superficial quackery."
5,Great relationship guidance,"Great conversation coming from younger people who share important tips they have learned from their intimate relationships. Also, more conversation is needed directed toward males to help process their feelings."
3,Wanted to like it,But I can’t hang. Somehow feels like she is on a high horse speaking down on many topics in many situations.
5,9/3/24 episode,"Yeah. Shove that in your Forgiveness Pipe and cram it in a pulpit. 
You know who you are and what you did 😤"
5,Fantastic!,This pod has been recommended to me many times and I am so glad that I finally started listening!! ⭐️⭐️⭐️⭐️⭐️
5,Important and Interesting,A+ content on all the interesting topics. Just listen- you’ll love it.
