index,user,timestamp,rating,title,review,review_raw
1642,Megan0005,20181026T182308,5,Bar Fight,"I never quite realized the extent of the perversion in our justice system, assumingely across the nation, until listening to this example of an average court case in any town USA. Most other countries do not have an option of a plea deal for many legitimate reasons. If a prosecutor sees fit to charge you with a certain crime which holds a certain penalty then why should you be offered a lesser charge with lesser time with the same evidence? So many moving factors as reasons. This episode was eye opening, wonderfully done.","I never quite realized the extent of the perversion in our justice system, assumingely across the nation, until listening to this example of an average court case in any town USA. Most other countries do not have an option of a plea deal for many legitimate reasons. If a prosecutor sees fit to charge you with a certain crime which holds a certain penalty then why should you be offered a lesser charge with lesser time with the same evidence? So many moving factors as reasons. This episode was eye opening, wonderfully done."
1643,Momlovestorun89,20181026T150329,5,Season 3 Is The Best Yet!,"So intrigued, I can't help but binge! Excellent reporting by Sarah and Emmanuel. Such interesting, relevant and important stories. I've learned so much and have been brought to tears by the way people are treated by our court systems and by police. So eye-opening, I think every one should have to listen to this season to understand the reality of just how bad things are. Heart-breaking and thought provoking. Absolutely worth your time!","So intrigued, I can’t help but binge! Excellent reporting by Sarah & Emmanuel. Such interesting, relevant and important stories. I’ve learned so much and have been brought to tears by the way people are treated by our court systems and by police. So eye-opening, I think every one should have to listen to this season to understand the reality of just how bad things are. Heart-breaking & thought provoking. Absolutely worth your time!"
1647,JMLH78,20181026T025432,5,Powerful,"Eye opening and powerful. If you live in your bubble and cannot empathize with these people then you are allowing prejudice, stereo type, and anecdotal evidence to foster what is becoming a nationwide sociopathy. We are all human. Every case is different. Wouldn't it be great if we could look for commonality and unity in this increasingly polarized world. Keep up the good work.","Eye opening and powerful. If you live in your bubble and cannot empathize with these people then you are allowing prejudice, stereo type, and anecdotal evidence to foster what is becoming a nationwide sociopathy. We are all human. Every case is different. Wouldn’t it be great if we could look for commonality and unity in this increasingly polarized world. Keep up the good work."
1649,nic102018,20181025T214227,5,Can'T Stop Listening,Season 3 is the best!,Season 3 is the best!
1650,Wickedsvt's Itunes,20181025T213720,5,The First Season Is By Far The Best Season,Season 1 = 5 Stars Season 2 = 1 Star Season 3 = 2 Stars,"Season 1 = 5 Stars
Season 2 = 1 Star
Season 3 = 2 Stars"
1651,Market Risk,20181025T192331,5,Wow!,Eye opening! If anyone wants to know why Colin Kaepernick is kneeling they just need to listen to Serial Season 3! I hope that there is something I can do once I hear the whole story. How can this change?!?,Eye opening! If anyone wants to know why Colin Kaepernick is kneeling they just need to listen to Serial Season 3!  I hope that there is something I can do once I hear the whole story. How can this change?!?
1652,iravs72,20181025T180942,5,Amazing Work,Sarah has the knack of picking stories from everyday life and tell them so vividly that they become part of the listeners life. The Cleveland chronicles have been so heart wrenching to see grave social injustice happening towards black communities. I hope her work brings greater awareness amongst the judicial system and change the culture to meet a higher standard.,Sarah has the knack of picking stories from everyday life and tell them so vividly that they become part of the listeners life. The Cleveland chronicles have been so heart wrenching to see grave social injustice happening towards black communities. I hope her work brings greater awareness amongst the judicial system and change the culture to meet a higher standard.
1653,Blue Bass Guitar,20181025T162404,5,Great Podcast!,Love this podcast! Great to listen to while I'm working on school!,Love this podcast! Great to listen to while I’m working on school!
1654,Eeyy bob,20181025T140056,5,Love This Show,"This latest season is amazing, the insight into the criminal justice system is needed at this time","This latest season is amazing, the insight into the criminal justice system is needed at this time"
1657,Emkur,20181025T132129,5,Continues To Really Delve Into Issues,Season 3 is so interesting. I had no idea what was going on with the court side of things. When you see beatings on the news you don't really get to see the underlying context and they set out to make sure listeners really get it. Well done!,Season 3 is so interesting. I had no idea what was going on with the court side of things. When you see beatings on the news you don’t really get to see the underlying context and they set out to make sure listeners really get it. Well done!
1658,Akayo333,20181025T131027,5,Love The First Two Seasons,"The first two seasons of serial makes it by far the best podcast out there. Season 3 is ok but if I'm honest with myself I'm not as excited to hear the next episode and I find myself letting my ADD distract me often. This always happens but I usually rewind and re-listen but with season 3 I just continue on. That being said, I'm still a huge Serial fan and hope that season 4 will be as amazing as 1 and 2. I recommend you all the time.","The first two seasons of serial makes it by far the best podcast out there. 

Season 3 is ok but if I’m honest with myself I’m not as excited to hear the next episode and I find myself letting my ADD distract me often. This always happens but I usually rewind and re-listen but with season 3 I just continue on. 

That being said, I’m still a huge Serial fan and hope that season 4 will be as amazing as 1 and 2. I recommend you all the time."
1662,Phukan,20181025T072915,5,Amazing Podcast. But I Am Getting Angry Listening To Season 3.,"Engrossing and insightful. Listening to season 3, I keep asking myself, how is this okay?!? This is the US where rule of law is suppose to prevail. This is upsetting. I need to donate to the ACLU.","Engrossing and insightful. Listening to season 3, I keep asking myself, how is this okay?!?  This is the US where rule of law is suppose to prevail. This is upsetting. I need to donate to the ACLU."
1663,Raspberry88,20181025T044541,5,"Season 1 Is Amazing. 2 And 3 Are Interesting, But Less Riveting","First and foremost, season 1 is amazing. It's absolutely incredible, great storytelling and a great narrative to tell. The next two seasons are moreso interesting than riveting. Still very good, but it won't leave you wanting more.","First and foremost, season 1 is amazing. It’s absolutely incredible, great storytelling and a great narrative to tell.

The next two seasons are moreso interesting than riveting. Still very good, but it won’t leave you wanting more."
1667,mowah222,20181024T183130,5,"Good, But Underestimates The Listener","""Now, I know what you're thinking...I want to hear about Salem, not the history of Maine."" Nope! That's not what I was thinking...I was thinking, please don't tell me why I should listen again, or tell me why context is important AGAIN. Otherwise, I enjoy the podcast, I just roll my eyes every time there is another comment that treats me like I'm dumb.","“Now, I know what you’re thinking...I want to hear about Salem, not the history of Maine.” Nope! That’s not what I was thinking...I was thinking, please don’t tell me why I should listen again, or tell me why context is important AGAIN. 
Otherwise, I enjoy the podcast, I just roll my eyes every time there is another comment that treats me like I’m dumb."
1668,Hayden#10,20181024T175632,5,The Best,Season 1 got me into podcast listening. Season 2 may have lost some of the magic but Season 3 is what Podcasts are for. Season 3 is the best investigative journalism I have experienced in decades.,Season 1 got me into podcast listening.  Season 2 may have lost some of the magic but Season 3 is what Podcasts are for.   Season 3 is the best investigative journalism I have experienced in decades.
1670,Aisha Louise Coursen,20181024T030723,5,Season 3 Does Not Disappoint,"Wow. Hard hitting, poignant, well written like the first two seasons, however I am amazed by the real life consequences of each story. This is a history making, potentially system altering show. You won't want to miss it.","Wow. Hard hitting, poignant, well written like the first two seasons, however I am amazed by the real life consequences of each story. This is a history making, potentially system altering show. You won’t want to miss it."
1671,Aka: crap,20181023T130012,5,Serial Fan,I could listen to Sarah Koenig read the phone book and I'd be interested. Love every season!,I could listen to Sarah Koenig read the phone book and I’d be interested. Love every season!
1672,cre000!,20181023T042701,5,A Delight,"I just started season 3, and it's incredible. I can't wait to tell everyone that I love who also love podcasts about it!","I just started season 3, and it’s incredible. I can’t wait to tell everyone that I love who also love podcasts about it!"
1673,Joseph's family,20181023T030354,5,Season On Courts Is Unbelievably Spot On,"The sad part is, people who really could benefit from this will not listen. Our collective family empathy and understanding was developed through ""visiting"" various courts and detention facilities with our black son who has schizophrenia. Sarah and team are (as usual) doing an expert job of touching on every paradox and perfection of the system. Well done!","The sad part is, people who really could benefit from this will not listen. Our collective family empathy and understanding was developed through “visiting” various courts and detention facilities with our black son who has schizophrenia. Sarah and team are (as usual) doing an expert job of touching on every paradox and perfection of the system. Well done!!"
1674,Caroline52,20181022T211240,5,Best Podcast,This is the best podcast I've listened to. Keep up the great work.,This is the best podcast I’ve listened to. Keep up the great work.
1675,Dmiller1234,20181022T055336,5,"Season 1 Hooked Me On Podcasts, Season 3 Changed How I Understood The World I Live In.","This is one of the most remarkable, eye opening pieces of journalism I have ever encountered. This is truly a must watch. Many episodes bring tears to my eyes be it through frustration, joy, or despair. If you listen to nothing else this year, please try this podcast. It's truly unbelievable how incredible this is.","This is one of the most remarkable, eye opening pieces of journalism I have ever encountered. This is truly a must watch. Many episodes bring tears to my eyes be it through frustration, joy, or despair. If you listen to nothing else this year, please try this podcast. It’s truly unbelievable how incredible this is."
1677,ClpMom,20181021T182122,5,Good Show!,I like it!,I like it!
1679,RCVane,20181021T060742,5,"Season 3 - Takes A Few Episodes To Get Into, But Worth It","While Season 1 was addicting right from the start, Season 3 takes some time to warm up. The last few episodes have been extremely eye-opening. Unfortunately, whenever anyone tries to examine the criminal justice system and the police, lots of people tend to whine, ""It's so liberal"" or ""There's so much police bashing!"" or ""Those guys are criminals! Why are the journalists on their side?!"". Somehow, people think examining these systems and people who are abuse their power is like a complete betrayal entire country itself. So, while Season 3 is exactly what this country needs right now, unfortunately, the closed-minded won't listen to it and will trash it in the reviews.","While Season 1 was addicting right from the start, Season 3 takes some time to warm up. The last few episodes have been extremely eye-opening. Unfortunately, whenever anyone tries to examine the criminal justice system and the police, lots of people tend to whine, ""It's so liberal"" or ""There's so much police bashing!"" or ""Those guys are criminals! Why are the journalists on their side?!"". Somehow, people think examining these systems and people who are abuse their power is like a complete betrayal entire country itself. So, while Season 3 is exactly what this country needs right now, unfortunately, the closed-minded won't listen to it and will trash it in the reviews."
1680,SClark132010,20181021T053217,5,Season 3 Best Yet,"I've always loved this podcast, but season 3 is insanely good. The reporting is incredible, the way of story telling completely compelling. The content is utterly sickening. Thank you Serial, for blinding me with the light.","I’ve always loved this podcast, but season 3 is insanely good. The reporting is incredible, the way of story telling completely compelling. The content is utterly sickening. Thank you Serial, for blinding me with the light."
1681,disappointed 206,20181021T003506,5,Terrific Reporting,"Reporting doesn't get better than this. Season 3 puts The Black Lives Matter movement into a whole different perspective. Hopefully it will spur radical change in our judicial system. It should be required listening by every prosecuter, mayor, city council member, judge, cop etc.","Reporting doesn't get better than this.  Season 3  puts The Black Lives Matter movement into a whole different perspective.  Hopefully it will spur radical change in our judicial system.  It should  be required listening by every prosecuter, mayor, city council member,  judge, cop etc."
1682,Elatedplaty,20181020T191019,5,Great Show,So far the 3rd season has been my favorite. Fantastic!,So far the 3rd season has been my favorite. Fantastic!
1685,Noyster2,20181020T144605,5,Season 3 Is Spellbinding,"I commend Ms. Koenig and her team on this deep dive into the American justice system. In season three Koenig offers up literate sketches of individuals on both sides of the legal system alongside historical perspective on how money, the scarcity of time and politics shaped the law and sentencing. We come away with a sense of the legal system as a great, creaky machine inexorably threshing through lives. The many moving parts of the machine, alternately likable, heroic, hapless, brutal or sly, are forced into shapes that fit the clockwork. I've read though a number of reviews posted here and I see that there are some angry suggestions that Koenig's team has a ""liberal"" bias (usually followed with indignant threats that the listener intends to unsubscribe.) How different is Season Three from the preceding two that it merits this new partisan response? Rather than focusing on one person's journey through the twists and turns of a convoluted system it is that system itself in the spotlight. All three seasons feature 'good' and 'bad' cops but here we run into the ""Blue wall"" as an institution. Each courtroom seems an individual fiefdom subject to the judges' personal style which ranges from beneficial practicality to unsettling paternalistic entitlement. And the lawyers are institutionally forced into the role of a cattle dealer: throwing in a few good heifers to sweeten the deal. This U.S. Constitution's uplifting central guarantee to every American's right to a ""day in court"" is sullied by the gritty transactional process.","I commend Ms. Koenig and her team on this deep dive into the American justice system.  In season three Koenig offers up literate sketches of individuals on both sides of the legal system alongside historical perspective on how money, the scarcity of time and politics shaped the law and sentencing. We come away with a sense of the legal system as a great, creaky machine inexorably threshing through lives. The many moving parts of the machine, alternately likable, heroic, hapless, brutal or sly, are forced into shapes that fit the clockwork. 

I've read though a number of reviews posted here and I see that there are some angry suggestions that Koenig's team has a ""liberal"" bias (usually followed with indignant threats that the listener intends to unsubscribe.) How different is Season Three from the preceding two that it merits this new partisan response? Rather than focusing on one person's journey through the twists and turns of a convoluted system it is that system itself in the spotlight. All three seasons feature 'good' and 'bad' cops but here we run into the ""Blue wall"" as an institution. Each courtroom seems an individual fiefdom subject to the judges' personal style which ranges from beneficial practicality to unsettling paternalistic entitlement. And the lawyers are institutionally forced into the role of a cattle dealer: throwing in a few good heifers to sweeten the deal. This U.S. Constitution's uplifting central guarantee to every American's right to a ""day in court"" is sullied by the gritty transactional process."
1688,chriswarrrd,20181020T022306,5,Very Important In-Depth Reporting,"Serial is, seriously, the best podcast available right now. The reporting they've done on season 3 is absolutely stunning. What America is doing to its black citizens through the criminal justice system is not only a disgrace, but it's outright criminal. Great work, serial. I wish this wasn't something that needed coverage.","Serial is, seriously, the best podcast available right now. The reporting they’ve done on season 3 is absolutely stunning. What America is doing to its black citizens through the criminal justice system is not only a disgrace, but it’s outright criminal. Great work, serial. I wish this wasn’t something that needed coverage."
1692,Maryjoego,20181019T235541,5,You Will Enjoy This Podcast,Just finished season one. I look forward to Serial like a good book. Sarah's voice is easy to listen to and she is obviously smart. I'm totally hooked and enjoy every minute. Just started season two while cooking dinner. Thanks to the entire team.,Just finished season one. I look forward to Serial like a good book. Sarah’s voice is easy to listen to and she is obviously smart. I’m totally hooked and enjoy every minute. Just started season two while cooking dinner. Thanks to the entire team.
1693,Goadplace,20181019T195033,5,Amazing!,A must listen! Fascinating and so well covered!,A must listen! Fascinating and so well covered!
1695,Momma Matthews,20181019T191049,5,Thank You For Telling These Stories,These are the stories of corruption and perversion that need to be told. It is sick what human beings are capable of. What can we do?,These are the stories of corruption and perversion that need to be told.  It is sick what human beings are capable of. What can we do?
1696,froboy8,20181019T182545,5,Please Don'T Make Us Wait Too Long For More!,"Love love love SK! Love her voice, her storytelling. Everything. More!","Love love love SK!!!  Love her voice, her storytelling. Everything.  More!!!!!!!"
1697,ethandsmith6,20181019T163924,5,Season 3 = Eye Opening,I hope this movement enacts serious change in the justice system. Episode 6 about East Cleveland blew my mind.,I hope this movement enacts serious change in the justice system. Episode 6 about East Cleveland blew my mind.
1700,Hadriuse,20181019T020023,5,Awesome! Never Disappoints,"Every episode of serial is like opening a Christmas present; excitement, anticipation, and then satisfaction because it was everything you wanted or wished Santa would bring.","Every episode of serial is like opening a Christmas present; excitement, anticipation, and then satisfaction because it was everything you wanted or wished Santa would bring."
1705,Meg Greer,20181018T233316,5,Most Important Podcast Ever Produced,"This series of podcasts could be the most important ever produced. The excesses of the criminal justice system – the use of multiple charges for the same arrest; the push for plea-bargains, even if you are not guilty; the lying police, with their with keywords and buzz words like ""looked agitated"", I could ""smell liquor or marijuana"", they ""reached for their pockets""; and the frustration that can be attributed not just to the crooked police and the overexuberant prosecutors, but also to the defense attorneys too chicken to go to trial, and the judges. We have traveled far from the constitution, listeners. I ask everyone of you who has been called to jury duty, have you ever been called up for a trial? Not likely, since 96% of charges are pleaded out. Inhumane, because the so-called perpetrator was probably over-charged in the first place. I am not a conspiracy theorist under most circumstances, but this is a huge conspiracy to incarcerate and criminalize a large proportion of our population.","This series of podcasts could be the most important ever produced. The excesses of the criminal justice system – the use of multiple charges for the same arrest; the push for plea-bargains, even if you are not guilty; the lying police, with their with keywords and buzz words like “looked agitated”, I could “smell liquor or marijuana”, they “reached for their pockets”; and the frustration that can be attributed not just to the crooked police and the overexuberant prosecutors, but also to the defense attorneys too chicken to go to trial, and the judges. We have traveled far from the constitution, listeners. I ask everyone of you who has been called to jury duty, have you ever been called up for a trial? Not likely, since 96% of charges are pleaded out.  Inhumane, because the so-called perpetrator was probably over-charged in the first place.  I am not a conspiracy theorist under most circumstances, but this is a huge conspiracy to incarcerate and criminalize a large proportion of our population."
1707,KyleRomanoff727,20181018T220911,5,You In The Red Shirt,"The episodes keep getting better. It is amazing to me how some people live and how they are treated in different parts of our country. I was thinking "" no wonder these people were rioting in the streets""! Educational in a very interesting way.","The episodes keep getting better. It is amazing to me how some people live and how they are treated in different parts of our country. I was thinking “ no wonder these people were rioting in the streets”! 
Educational in a very interesting way."
1709,blahblah-d-blah,20181018T195927,5,Love Love Love This Podcast,The topics are great and the reporters are incredible. The reporting thats done is so in depth and keeps your attention throughout the whole episode.,The topics are great and the reporters are incredible. The reporting thats done is so in depth and keeps your attention throughout the whole episode.
1711,josh2930,20181018T183434,5,Amazing,This show is perfect. Everything is done so well!,This show is perfect. Everything is done so well!
1713,V10L3T_L0X,20181018T155854,5,Wow,"I'm left aghast at Episode 6, Season 3. I really hope this podcast sends a shockwave through the nation. This has to be happening in other states. These bad apples are going to destroy our faith in law enforcement, and I can't see it ending well for anyone.","I'm left aghast at Episode 6, Season 3. I really hope this podcast sends a shockwave through the nation. This has to be happening in other states. These bad apples are going to destroy our faith in law enforcement, and I can't see it ending well for anyone."
1714,Plante Family,20181018T154317,5,Serial Season 3,The Cleveland Justice Center season is not wrought with mystery as the first and second seasons. This is the best season yet. Just absolute surprise. This can't be how it is. This is total bewilderment. I love it. Glad your back.,"The Cleveland Justice Center season is not wrought with mystery as the first and second seasons. 

This is the best season yet. Just absolute surprise. This can’t be how it is. This is total bewilderment. 

I love it. Glad your back."
1715,yogarita,20181018T131628,5,Brilliant!,Sarah Koenig for President!,Sarah Koenig for President!
1716,Ashleyb111010,20181018T112057,5,Awesome!,"I usually listen to crime podcasts but when I found yours on Instagram, I thought why not give it a shot? My house has never been so clean. I listen to you guys and clean, I listen to you guys and craft, I listen and fold laundry... everything! My husband wishes you guys were around years ago so our house would always be clean! :smiling_face_with_heart-eyes:","I usually listen to crime podcasts but when I found yours on Instagram, I thought why not give it a shot? My house has never been so clean. I listen to you guys and clean, I listen to you guys and craft, I listen and fold laundry... everything! My husband wishes you guys were around years ago so our house would always be clean! 😍"
1717,OG1976,20181017T201736,5,Thank You.,"On behalf of disgusted attorneys across the nation, thank you for bringing to light the sham justice that is served to poor Americans everywhere. Next time, take a look at immigration courts. The court in Cleveland will look phenomenal in comparison.","On behalf of disgusted attorneys across the nation, thank you for bringing to light the sham justice that is served to poor Americans everywhere.  Next time, take a look at immigration courts.  The court in Cleveland will look phenomenal in comparison."
1718,Andrewralph11122211111,20181017T171004,5,Great Journalism,"In a time when it is so challenging to find honest journalism, Serial reports on people who are doing their best within a healing system.","In a time when it is so challenging to find honest journalism, Serial reports on people who are doing their best within a healing system."
1719,Pete770,20181017T133716,5,Gripping Story,I really enjoyed this. Sad story. Don't be fooled by Adnan.. Total sociopath/manipulative human who now has convinced himself that he didn't do it. It would be nice if he just came clean..,I really enjoyed this. Sad story. Don’t be fooled by Adnan.. Total sociopath/manipulative human who now has convinced himself that he didn’t do it. It would be nice if he just came clean..
1721,mscan482,20181017T112307,5,Out Of Left Field In A Good Way,"First season is AMAZING and started a wave of many great new true crime podcasts. Season 2 didn't appeal to me but I got why Sarah was intrigued. Season 3 is another different style, but it's really informative. I like that despite knowing another season in the same style of season 1 would blow up and bring in lots of Monday, the team is focused on telling new stories and staying passionate which feels very sincere.","First season is AMAZING and started a wave of many great new true crime podcasts. Season 2 didn’t appeal to me but I got why Sarah was intrigued. Season 3 is another different style, but it’s really informative. I like that despite knowing another season in the same style of season 1 would blow up and bring in lots of Monday, the team is focused on telling new stories and staying passionate which feels very sincere."
1723,Elle4678Dani,20181016T182323,5,Whoa!,Amazing! There are no words.,Amazing! There are no words.
1725,Kaitee09,20181015T225953,5,Great Story Telling,I love podcasts that delve into the story and this is just that. Keep 'em coming!,I love podcasts that delve into the story and this is just that. Keep ‘em coming!
1726,whyismynametakenomg,20181015T223233,5,I Enjoy Commuting Because Of This,I have never listened to a podcast before this in my life and then i started a new job and commuted. I searched for a good true crime podcast and stumbled upon this. Wow....I rave to my friends about this and tell everyone to please listen! Do not stop what you are doing. Ever. You have such loyal friends. I finished this and started listening to S-Town!:yellow_heart::yellow_heart::yellow_heart:,I have never listened to a podcast before this in my life & then i started a new job and commuted. I searched for a good true crime podcast and stumbled upon this. Wow....I rave to my friends about this and tell everyone to please listen!! Do not stop what you are doing. Ever. You have such loyal friends. I finished this and started listening to S-Town!!💛💛💛
1727,lovexlc,20181015T160639,5,Cant Stop Listening,"These stories are artfully and thoughtfully told. I've listened to all three seasons and I will continue to be a listener. Even if you do not agree with her conclusions or opinions, her craft is admirable. I could listen to Sarah Koenig talk for the rest of my life.","These stories are artfully and thoughtfully told. I’ve listened to all three seasons and I will continue to be a listener. Even if you do not agree with her conclusions or opinions, her craft is admirable. I could listen to Sarah Koenig talk for the rest of my life."
1729,BNS DC,20181014T204939,5,"Just Listen To It, Once.","Just listen to the very first episode, ONCE, without any interruptions, starting from the Season 1.","Just listen to the very first episode, ONCE, without any interruptions, starting from the Season 1."
1730,Nashvillemisty,20181014T195520,5,Nashvillemisty,Don't listen to one if you don't want to listen to all!,Don’t listen to one if you don’t want to listen to all!
1731,Queen14670,20181014T174706,5,Wow,"I just binged season 1, 2, and what has been posted of 3. I can't get enough! And I love the reporter who does all of these podcasts — Sarah I believe? Haha I should know by now. Anyway this is well worth your time and the people who made it have put in so much time and INCREDIBLE effort 10/10 :OK_hand::medium-light_skin_tone::OK_hand::medium-light_skin_tone::thumbs_up::medium-light_skin_tone::raising_hands::medium-light_skin_tone:","I just binged season 1, 2, and what has been posted of 3. I can’t get enough! And I love the reporter who does all of these podcasts — Sarah I believe??? Haha I should know by now. Anyway this is well worth your time and the people who made it have put in so much time and INCREDIBLE effort 10/10 👌🏼👌🏼👍🏼🙌🏼"
1732,Goldenhar,20181014T013627,5,Sarah And Team Do It Again,I was at an ACLU event last week in Cincinnati Ohio. The Ohio executive director was talking about all the current efforts they are doing to keep our democracy working for everyone. During the q and a I recommended that everyone subscribe and listen to this season of Serial. I even helped a few folks sign up!,I was at an ACLU event last week in Cincinnati Ohio. The Ohio executive director was talking about all the current efforts they are doing to keep our democracy working for everyone. During the q and a I recommended that everyone subscribe and listen to this season of Serial.  I even helped a few folks sign up!
1733,Gwendolynie,20181014T010725,5,Incredible,Amazing reporting. Produced incredibly well. A must listen!,Amazing reporting. Produced incredibly well. A must listen!!!
1734,apt342,20181013T125024,5,Serial Season 3,Love this season! On the edge of my seat during every episode wondering what comes next. Keep up the great work. - 10/13/18,Love this season!  On the edge of my seat during every episode wondering what comes next.  Keep up the great work. - 10/13/18
1736,CCisawesome,20181012T223933,5,The Best,I'm late to this podcast but Sarah Koenig's ability to tell the story is hands down the best! Listen!,I’m late to this podcast but Sarah Koenig’s ability to tell the story is hands down the best! Listen!
1737,Cogsdoc,20181012T211049,5,The Grandaddy Of Them All,"The first season of Serial was the podcast that introduced me to podcasts. I've been addicted to podcasts ever since, but it still might be the all time best (though slight edge might go to S-town). Despite very different storytelling, season 3 evokes similar feelings. It is the audio version of that book you just cannot put down.","The first season of Serial was the podcast that introduced me to podcasts. I’ve been addicted to podcasts ever since, but it still might be the all time best (though slight edge might go to S-town). Despite very different storytelling, season 3 evokes similar feelings. It is the audio version of that book you just cannot put down."
1738,sydbehr,20181012T185938,5,Wonderful,Smart. Well researched. Perfectly executed. Jump in and enjoy this engrossing and interesting podcast. Thanks for another great season!,Smart. Well researched. Perfectly executed.  Jump in and enjoy this engrossing and interesting podcast. Thanks for another great season!
1741,jassy:merperson::medium-light_skin_tone:‍:female_sign:️,20181012T155949,5,Great!,Such an interesting podcast. Been hooked since season 1.,Such an interesting podcast. Been hooked since season 1.
1742,Emmalani:footprints:,20181012T141444,5,Great Idea !,"Ok, wow :face_with_open_mouth: ! I'm amazed. Who's idea was it to go behind the scenes of the court system. If you do not work in the courts as an attorney, prosecutor, court reporter, judge etc...this feels like a foreign land. And most of us dip in and out of this imperfect, misunderstood system. And one can feel helpless as your soul is being sucked. Listening to these episodes, I've had so many A-HA-S. And I sooooo appreciate you taking the risk on this idea. I for one, born American, am trying to understand this seemingly mysterious ""fair"" way of attaining justice. And it's not easy as a layman. But, this is very very helpful. Mahalo Plenty","Ok, wow 😮 !  I’m amazed.  Who’s idea was it to go behind the scenes of the court system.  If you do not work in the courts as an attorney, prosecutor, court reporter, judge etc...this feels like a foreign land.  And most of us dip in & out of this imperfect, misunderstood system. And one can feel helpless as your soul is being sucked.  Listening to these episodes, I’ve had so many A-HA-S.  And I sooooo appreciate you taking the risk on this idea.  I for one, born American, am trying to understand this seemingly mysterious “fair” way of attaining justice.  And it’s not easy as a layman.  But, this is very very helpful.   Mahalo Plenty"
1745,AnglerHankfish16,20181012T125911,5,One Of My Favorites,Love it !,Love it !
1747,enrg0628,20181012T013452,5,So Important,"Everyone should be listening to this season. It's so informative, especially if you are not familiar with the justice system. It's got real voices, many perspectives, and fair delivery. Do us all a favor, listen, and pay attention. Then, do some local research and make sure you engage in your upcoming elections.","Everyone should be listening to this season. It’s so informative, especially if you are not familiar with the justice system. It’s got real voices, many perspectives, and fair delivery. Do us all a favor, listen, and pay attention. Then, do some local research & make sure you engage in your upcoming elections."
1748,KC's Bebe,20181011T231742,5,I Can'T Stop Listening,I just found out about Serial and I cannot stop listening! Now I have to go and listen to seasons 1 and 2.,I just found out about Serial and I cannot stop listening!!!! Now I have to go and listen to seasons 1  & 2.
1750,JennInspired,20181011T183904,5,Music To My Ears,Sara's story telling ability feels like home. I'm so glad Serial is back!,Sara’s story telling ability feels like home.  I’m so glad Serial is back!
1754,try55times,20181011T163543,5,Season 3 Ep 5,This was one of the best episodes of Serial I have experienced. I heard the frustration of the social debates over crime punishment sentencing attitudes from several perspectives. It just strengthened my belief that anyone that feels black and white over how to reform our criminal justice system is being naïve. It is complicated and messy and gray. There is too much vengeance and too much retribution driving the debate. I don't think justice involves either of those things.,This was one of the best episodes of Serial I have experienced. I heard the frustration of the social debates over crime punishment sentencing attitudes from several perspectives. It just strengthened my belief that anyone that feels black and white over how to reform our criminal justice system is being naïve.  It is complicated and messy and gray.  There is too much vengeance and too much retribution driving the debate.  I don’t think justice involves either of those things.
1755,stimp364,20181011T155931,5,Leaves Wanting More With Every Episode,The end comes way too fast. And every ending is such a cliff hanger. Adding layers and intrigue and just builds and builds and builds I freakin love this podcast and her style of reporting.,"The end comes way too fast. And every ending is such a cliff hanger. Adding layers and intrigue and just builds and builds and builds 
I freakin love this podcast and her style of reporting."
1756,Stevenvig92,20181011T131418,5,Expectations,These are just stories to discredit any social opinion based on media. Truly a good series. Speaking with actual people involved in the following situations. I loved all of this.,These are just stories to discredit any social opinion based on media. Truly a good series. Speaking with actual people involved in the following situations. I loved all of this.
1758,@blaiseskelton,20181011T003532,5,Addicting!,"One of the best podcasts I have ever heard! So interesting and filled with twists and turns that will draw you in after just one episode. Season 1 gave me chills frequently and not necessarily bad ones, but just gets so intense it makes you yearn for more information and closure. Keep up the amazing work:thumbs_up::light_skin_tone:","One of the best podcasts I have ever heard! So interesting and filled with twists and turns that will draw you in after just one episode.  Season 1 gave me chills frequently and not necessarily bad ones, but just gets so intense it makes you yearn for more information and closure. Keep up the amazing work👍🏻"
1761,vtram125,20181010T233812,5,Amazing,Love this podcast! Great research and storytelling,Love this podcast! Great research and storytelling
1762,RachWilk30,20181010T185220,5,Sarah Rocks,"I could listen to any podcast by Sarah. She does such a great job and would LOVE more Serial seasons. I enjoyed the format of the first two seasons a bit better than the third, but still my favorite podcast.","I could listen to any podcast by Sarah. She does such a great job and would LOVE more Serial seasons. I enjoyed the format of the first two seasons a bit better than the third, but still my favorite podcast."
1764,XeenQueen,20181010T164456,5,Each Season Is Better Than The Next,I get more and more hooked after each episode. I'm happy that I started this series late because I was able to binge seasons 1 and 2. Season 3 is even more interesting to me. I've just visited Cleveland this year and met a judge who reminded me a lot of judge Gaul. I can't wait for the rest of the season!,"I get more and more hooked after each episode. I’m happy that I started this series late because I was able to binge seasons 1 and 2. 

Season 3 is even more interesting to me. I’ve just visited Cleveland this year and met a judge who reminded me a lot of judge Gaul. I can’t wait for the rest of the season!"
1765,Rebel 4 Life,20181009T115030,5,Storytelling At Its Best,The way this team is able to submerge the listeners into the story and not simply report makes this one of my favorite podcasts.,The way this team is able to submerge the listeners into the story and not simply report makes this one of my favorite podcasts.
1768,Hey224456,20181008T170143,5,Great,Just subscribed and I love it. Thank you,Just subscribed and I love it. Thank you
1772,Mac Jackson,20181007T204514,5,More Please:),This is one of the first podcasts I got hooked on and I'm so glad the LONG wait is over. Keep up the excellent work! :),This is one of the first podcasts I got hooked on and I'm so glad the LONG wait is over. Keep up the excellent work! :)
