title	review
Excellent!!!	Now that I’m healing, I love this podcast!  At first it was overwhelming but my wounds were too fresh.  Once I realized how similar our stories are, it became educational instead of painful.  Our stories have so many similarities but most important, we should no longer feel so alone after tuning  in.  Thank you!
Absolutely fantastic!	This podcast has truly been life changing for me.  I found this podcast nearly a year ago after leaving an abusive relationship and I listened every single day for months until I heard every available episode.  It's that compelling and that good.  I had been researching narcissism and narcissistic abuse for nearly 5 years and nothing came close to illustrating the toxicity of these relationships. This podcast feels  like a beacon of light in a very dark place. As a psychologist, I thought I had a decent understanding of narcissism and abuse dynamics, but after discovering I had survived a narcissistic relationship myself, I realized how insidious this abuse reallly is.  The survivors' stories on this podcast detail the nuances of manipulation within the narcissistic abuse dynamic and, for the first time, I felt completely understood - again and again as I listen I feel validated because I relate so much to the stories the survivors courageously share. Brandon does a phenomenal job giving the survivors space to share their stories with very little interruption.  When he does interject, his questions are thoughtful and on point and he exudes understanding, compassion and support.  He offers support off the podcast, as well, by graciously giving of his time to facilitate support groups for survivors.  Listening to ths podcast has been very healing for me personally and has led me to feel better equipped professionally to help those who have endured this form of abuse.  The impact of the work being done on this podcast to shed light on a critically important topic cannot be overstated.  I am beyond grateful to have found this podcast and believe anyone, whether having survived such a relationship or not will benefit from listening. A+
This is from Brenda Newton	"Chad is amazing at helping the victim feel comfortable telling their stories. He is slow at interjecting which I appreciate. The only time he slows the dialogue down is to point out red flags or other helpful reflections to help the listeners and the victim see patterns. The empathy he shows his guests and how comfortable he makes them is impressive. He also finish's up with ""repowering"" the guest after they have just spilled out their guts. Diffidently a no judgement zone. Which is hard because they are admitting to mistakes and mostly naiveness that predators are out there. Great podcast. 

Riply mentioned a book she had and read and you seemed to be familiar with it. Can you share the title ? I had a hard time hearing the name and author."
Willow	I’m a psychologist and this story is not about narcissism. This is a story about a woman who made a LOT of bad choices and ignored a LOT of red flags and unfortunately got a LOT of airtime on this podcast.
Omg!  Finally a podcast that “gets it”	There are many helpful podcasts about narcissism.  However, the majority of them offer advice and are missing real live stories from survivors of narcissistic abuse.   Although the advice is relatable - the stories are relatable, relevant and REAL.   Real survivors are given an opportunity to share their narrative from an unconditional, non-judgmental platform.  Their stories hit home.  Once I started listening - I was hooked.  Their stories are my story.  Thanks Chad for bringing a podcast that finally “gets it.”
I’m not alone	Thank you for this podcast and the stories that are sometimes hard to tell. After 11 years of marriage, I finally learned last year what a narcissist was and I definitely had one. I have listened to my first podcast this morning and repeatedly said “Yes!!  That’s happened to me too!”  In the process of divorcing and I’ve already started the healing process. It’ll be a long slow road, but the abuse stops now!  I am strong and I am worth every bit!
Sharing is caring	Dealing with a narcissist is super isolating and insulating. Thankful there are podcasts like this to connect survivors with support and an opportunity to share what has been suffered in silence. It is freeing and healing to share in a safe and non-exposing way. I heard a quote that I love that says “if we heal loudly, we save others from suffering quietly.”
Favorite podcast	"This podcast is honestly just so amazing. Each person that shares their story is so honest and raw. I’m so happy I found this podcast... knowing I’m not alone is something that means so much to me. 

If you are a victim, or survivor of any type of abuse, listen to this podcast. Pick any episode and just listen. The bravery. The honesty. It’s amazing, and so helpful to me as I enter in my own healing journey. 

Thank you to the owner of this podcast for giving all of us abuse victims, a platform to share our truth. Forever grateful!"
This is me!	"Rain’s story is MY STORY!  I’m blown away that there is somebody else out there that has loved a very similar life to mine.  I wish there was an opportunity to connect with Rain.  Thank you for sharing!
~Angela"
I'm sorry but.....	"First, I truly believe that narcissist exists and that they cause those who love them tremendous pain and suffering (particularly the ones who put hands on you).  I get it.  I also believe that sharing your story is invaluable as it helps the speaker and the listener in the hearing process. But , I see absolutely no value in letting someone speak for more than an hour and not once take ownership of their choices. I've just spent the past hour engaged in the speakers "" trauma bonding"" without the benefit of self reflection or true personal insight.  The experience for me was like listening to an alcoholic sharing at an AA meeting about the true horror's of alcoholism -the degradation,the humiliation, the loss of dignity and self-respect the bottle has  caused and then turn around and ""blame it on the alcohol""  In the telling of the Spiritual Abuser,  it is very clear that she has a great deal of work to do, and, unless this is just a platform to binge and vent, some effort on the hosts part to probe (gently)  a little deeper issues self worth and the difference between something being ""done""  to you and just bad choices might prove more beneficial-for all of us. The concern I have about this platform is that It can provide another outlet for the victim of abuse to keep the narc alive and to attract a whole new set of ears to trauma bond with - to be sure everyone in their circle has heard their story over and over again.  I also think that sometimes labeling someone ""anything"" let's the other person off the hook.  In the end, we are only hearing one side of the situation.  Again, I'm sorry if this post seems insensitive.  But to recover from pain and trauma one must accept their part and to completely eliminate from their vocabulary, words like ""he made me"" and  ""i don't know why I "" Once this is possible then the healing will begin.  Oh and get some counseling."
My favorite podcast!!	This podcast has truly helped me realize that I’m not alone and has helped me better understand what happened to me in my own past narcissistic relationships. Definitely would suggest this to anyone feeling misunderstood.
Helps overcome toxic relationships	I think that if you’ve ever been in a toxic relationship, hearing others stories and background is key in the healing process.
Unique and invaluable	This podcast is a great way to hear first hand the effects of a relationship with a narcissist or someone who has traits. A survivor feels confused and alone. It’s great to get not only confirmation from the stories but to get support through the Patreon group. Chad is truly a caring person who puts a lot of heart and hard work into a platform of healing for strangers he makes friends. I’m so thankful for this resource and the connections I’ve made.
Saving my life- literally	I found this podcast during my journey of research trying to understand my husband better. Brandon and all of these amazing stories have been the driving strength I needed to leave. 15 years of a slow fade and verbal abuse but I am 3 months gone (ish) - we have a son so it’s hard- but I am doing it! Thank you Brandon! Thank you to every survivor for sharing- and helping so many- especially me. I will be forever grateful
Grateful	I have been listening to this podcast for a couple months now, just about every single day steadily - listening to the stories. I am a survivor myself and recently gained courage to share my story as well. The podcast helps people to understand that these things are the effect of a mental disorder, that what happened to you is not your fault, and that you’re not crazy - and you’re not alone. In the midst of it all it feels embarrassing and shameful and .... lonely. You might even feel crazy. I did. Now that I’ve shared my story and listened to so many others and somehow resonated with each one although different - I don’t feel alone, I don’t feel crazy, and I feel empowered to live MY life: something I never used to truly believe was worth anything, or even possible.
Good concept, interesting content, but the hosting is a bit problematic	I love that abuse survivors have a platform to share their story. The host is kind and non-judgamental, which is great, but his inputs seem to be too frequent and leading. In my opinion, the questions that he asks his guests are full of confirmation bias. He seems to ask very specific questions hoping for answers that support his understanding of narcissism. He seems to try to manipulate and curate the story to fit the confines of the cycle of narcissistic abuse as he knows it (love bombing, devaluation and discard). I find this to be problematic as some of his guests may feel pressured to agree with his suggestions, especially if they are people pleasers. Also, any abuse victim whose situation does not fit in this rigid definition of narcissistic abuse, may not get the help they need and seek from this podcast.
Grateful for this podcast	I’ve learned so much from all the brave and inspiring stories!
Thank you!!	Just want to say I appreciate Narcissist Apocalypse it helped me realize I was with a narcissist helped to leave a toxic relationship!!!
Love, love	This podcast has helped me to go no contact with a man that I was with for 24 years.   We never lived together.   He tried to push me into it but there was always something holding me back.
From the eyes of a mother	I am the mother of a daughter that suffered in the hands of a narcissistic husband. The despair that I felt watching the changes in my daughter were gut wrenching. Narcissism affects the entire family. Listening to your podcast has helped me understand the depth of what she endured. It breaks my heart to know how she was affected by this monster who imprinted on her for 8 years. This podcast has brought more clarity than any book that I have read on the subject. Thank you!
Very helpful!	I am learning so much from the stories. The survivors are very inspiring. Thx
Much needed	What a great podcast!  I’m glad people are talking about this, if it helps someone not go thru what I did then it’s worth it, I would be happy to share my story on one of your episodes!
Mind blown	This podcast came to me via recommendation from the murderino group on Facebook...I find myself shaking my head and finishing the sentences of the survivors before they do. Listening to these stories has been healing and a little bit triggering, but it makes me happy that people are talking about this.
This is the real deal!	This podcast will help you find some much perspective because there’s so many different stories that one of them is bound to be the right fit for your situation - it also can stand as cautionary tales of what can happen if you stay. I’ve truly enjoyed hearing so many people be so brave and share their experiences and bonus, chad is a gracious and kind hearted host. He knows exactly what to ask and is just a super easy going guy.... perfect for dealing with people who have suffered the wrath of narcissistic abuse. Wonderful show!!!
Summer could be me	Summer, if you read this I love you! I feel like you are telling my story only mine is even more embarrassing with the things he got me to do and with who. It’s so degrading and awful. Thank you for telling your story. I feel less alone.
Leyla/ Police Officer & Domestic Violence	"Hi Chad! Thanks for this amazing podcast. Very helpful. I am wondering if there is a way for me to get into contact with Leyla? I am literally right in the middle of a very similar situation with my PO abusive husband. 
I’m also infuriated seeing what is happening within law enforcement and domestic violence. I am working on a project for justice. Would love to talk to her if she is interested. 
Thank you!! 
Laura"
the only podcast you need!	I was struggling with validation & understanding what I had been going through; fortunately, I found this podcast. There are TONS of episodes, topics, and guests (survivors and experts).  Chad is an awesome host & ensures you feel a bit more knowledgeable at the end of each episode. If you’re looking for more information or are just diving into truly understanding NPD/traits, you need to listen to Narcissistic Apocalypse!!
5/5	The best narcissist awareness type of podcast out there!
Bruce’s episode. May 3	"I listen to many abuse podcasts and many episodes of this podcast and all I kept doing during this one, was nodding my head and FULLY connecting and remembering that what Bruce described happened to me almost exactly!!!!I haven’t even finished listening, but i HAD to write. It was as though I was listening to someone who had taken a course in narcissistic abuse, which he technically did, but he had no
Idea! This episode is a huge trigger for me, but to hear his experiences so well described with all the “correct” terminology just confirms-yet again-that I am not the only one out there, that I wasn’t going crazy and that what happened to me was abuse, in the highest degree. Chad, thank you SO much for this podcast and for the episode with Bruce. I hope he reads this review. Thank you both so much!!"
I am have a delay reaction	I am 7 months in with (no contact) . I told myself my Narc (Ex-boyfriend) had died . I just pushed it out of my mind. I made myself as busy as possible. But now that I am on lockdown with COVID. I am just started to feel or deal with my unbelievable fake relationship . I am learning so much from this podcast
.	I have been feeling sick to my stomach and am so blessed there is a community to reach out to while going through this trauma. Thank you everyone sharing the most vulnerable times of your journey.
Insightful and wonderful podcast!	I love Chad and I appreciate this podcast so much. I found it on Instagram and it helps me connect with other survivors and validates my horrible experiences. The “letters to my narcissist” episodes are particularly powerful! Thank you Chad and all the warriors who have participated in this show!
Great podcast for narc abuse!	I thought I was alone until I heard other guests talk about their narc mothers! It helps so much w dealing w family who do not agree w your decision to cut off narc.
My New Favorite	So inspiring and encouraging to hear others’ stories! I can’t wait for each new episode to drop every Sunday.
So amazing and helpful!	Bring a narc abuse survivor myself, I could so relate to these stories. They definitely made me feel less alone. Keep up the great work! Hugs to us all. We are stronger than we know. God bless.
Eye-opening	"This podcast has given me the clarity I needed to move forward. 
If you’ve experienced any kind of narcissistic abuse, please listen. I promise you’ll stop feeling so alone."
Episode with Alex - Same story for me	"Alex’s episode was so eerily similar to my story and what I am going through that I was both shocked and relieved. To not be alone as a male victim and to hear his story greatly has helped me. 

Jason"
Chad and Jaws	"What am I listening to ???? Ok so , I started listening to this podcast a while ago , I’m a survivor of a narcissist of many years , I like learning about this to find out the ins and outs of this monster I lived with and why I let it go on for so long . I was hopeful to listen and enjoy this podcast but Chad what’s up ?!?! The concept is a good one but the depth is not worthy. 
I just wasted over an hour listening to your sob story ( with JAWS?!?) which can I tell you ? she may be a good friend but to us listeners she seriously hasn’t got a stick to stand on with your podcast, I’ve heard her on other episodes as well ,BLAH BLAH BLAH , on January 13th episode, I was sure this would be the last one , it was all about your neighbors who wanted to sue you and your personal problems?!?! Believe me there’s plenty of those podcast but what happened to  the “”Narcissist””???  either you need to call this podcast “Chads world “ or get more help making this worthwhile to all of us listeners who Definatly don’t want to hear your personal problems!!!!!"
A great tool for recovery	This is a great podcast for a reflective experience on your journey. Each story is beautifully told. A great resource for a community and an amazing platform to connect with others.
Helping Me Leave	"**I left. Thank you to everyone in this community. 

This has been life changing for me. I’m a woman currently married to another female “narcissist.” 
Narcissism doesn’t discriminate.

A life of competition, entitlement, projection, gas lighting....being silenced and worn down by abuse (emotional and physical) in the most intricate of forms. 

Thank you to Chad! You are doing something so important, and I have personally heard things in this pod cast that I will carry with me for the rest of my journey through leaving my narcissistic wife and healing."
Married to a narc	I thought I was losing my mind, I began disliking myself and finding faults in my friends. I’m so glad I found this podcast. I can relate to the stories and now I know it’s not me that’s crazy.
Great Podcast	Hearing the actual voices in their own words describing and sharing life experiences of narcissistic abuse has been so cathartic. It is real, relatable and not clinical.
Wonderful show	I really have enjoyed the show, living with a narcissist as well.  However, the new formatting of putting people’s stories into “acts” I feel is distasteful and leaves me unsettled.  It’s terminology that distracts from the seriousness of the issues and just reminds me over all of how much narcissist’s act on over all.  Please take it out of the show, it just seems like it’s a cute thing to do for a more casual show.
This podcast was exactly what I needed...	I had no idea until I found this podcast, but it was exactly what I needed. “Need” is a strong word, but it’s no exaggeration in this context. I spent years feeling incredibly confused and lost, and then the moment I started listening to this podcast and the stories the guests shared, something switched back on in me. The stories sounded so familiar, and I finally found out what to call what happened to me. There’s nothing quite like that, especially when you go on for some time wondering if anyone could understand what you’ve been through. I’m incredibly thankful for this show, the amazing people featured on it, and for the host for being able to provide a platform as organized and sincere as this one. It’s the best thing I found in 2019, and just in time.
great community	I came upon this podcast after dreaming that I was looking up podcasts about narcissists. I was looking for validation of my hunch, and it turns out I was (unfortunately) right. I really love hearing inspiring stories of how people leave their abusers, and that healing is possible. I feel stronger with every episode I listen to, and I’m so glad I broke free of the narc in my life.
Must Listen!	I am absolutely LOVING this podcast! I was searching for podcasts related to narcissistic abuse, but I stopped looking once I found this one. The interviews with real survivors has opened my eyes to so much. They are inspiring, heartbreaking, validating, and educational. I have already had several AHA moments, taken notes, laughed, and cried. I am so appreciative of Chad and the guests on his show who are willing to share their stories. Surviving this sort of insidious abuse is so difficult, but this podcast has already given me a lot of hope. THANK YOU!!!
Healing	This podcast is fabulous. The real-life stories have helped me realize how unhealthy my old relationship actually was, which has helped with the healing process. I highly recommend this podcast.
Lifeline	This podcast has been so helpful and supportive during my marriage with a narcissist. The emotional and physical abuse has been so confusing and emotionally exhausting. Thank you for all your work. It’s been a lifeline.
Very helpful	Chad has put together a very helpful podcast. Thanks for believing us Chad.
Love this	I love this podcast. It has truly been helping me heal. Thank you so much!
Very dull. No storytelling quality	I heard about this podcast on Dopey n thought I’d try it. I have tried to listen to Annie Episode 3 times now n I just can’t finish it.  She is an awful rambling storyteller n the host just lets her run like a therapy session. A podcast is an audio story n the host needs to know how to get someone to tell that story right. I am jot an addict but have listened to every episode of Dopey bc it’s do interesting. I wanted to learn about Narcissism more but I can’t bear to listen to Annie’s granular detail of every single day of her relationship. I have to unsubscribe.
Love the podcasts!	I love that others are helping themselves to heal here, as well as help others who have been through something similar. Chad is VERY down to earth, and is helping educate others and help in the road to recovery for so many!
I can’t get enough of these stories!	I listen to these podcasts at bedtime. I find that it brings me comfort to listen to others who have gone through similar things as I have. Chad becomes that familiar friend over the radio. Thanks to all the women who share their story and thanks Chad for doing your part to let us get our stories out there. This brings awareness to the kind of monsters that walk among us disguised as charming heroes until the love bombing stops and the mask falls off.
Excellent podcast for narcissistic abuse survivors!	I’m so excited this podcast exists. It’s so helpful knowing these other stories exist in the world. Your guests are so brave to share their stories. Thank you.
Best Podcast for Recovery	Chad is a great host.  You have helped me tremendously.  I’m very grateful to the abuse survivors who have courageously recounted their stories.
Politics!  Why?!	Pretty good show, until he starts into his diatribes about Donald Trump.  Why do people have to make everything about politics?  So exhausting.
Love the show	More narcissist abuse survivor stories please! Love the show and when Melissa is on too.
Great podcast	Chad had a great sense of humor about some painful things. Anti-Narcissists unite!
Must listen!!	Great dose of humor & valuable information! I love Chad’s take on narcissists, I’m in full binge mode right now! Must-listen if you have any experience with a narcissist or healing from narcissistic abuse.
Amazing Podcast	I love listening to Chad and his stories. Really opened my eyes up to some seriously sick people. Great listen!!
Surviving A Narcissist	"This podcast took me on an emotional roller coaster. I was in a long term relationship with someone who did similar things and at the time I had no clue what a Narcissist was. I was constantly being manipulated and forced to stay in the relationship. My mate would always threaten to self harm and do all types of things.

I am glad to hear that you were able to get help for your brother. I know that was extremely difficult and the guilt trip that comes along with it from your brother is extremely overwhelming. 

I am glad that you took the time to create this podcast. This is very much needed. This lets the rest of us know that we aren’t alone and we aren’t “crazy” for no longer wanting to deal with our family/mates “shenanigans” and “tantrums”.

I have a friend that is currently going through a similar situation with her parent and I am going to share your podcast with her. 

I appreciate you for taking the time to tell your story and I look forward to future episodes."
